index,Наименование параметра,СФ-16-02
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали 45, мм",16
2,"Максимальный диаметр сверления в стали 45, мм",3175
3,"Наибольший диаметр торцевой фрезы, мм",100
4,"Диапазон нарезаемых резьб, мм",М5..М22
5,"Наибольшая высота заготовки, мм",200
6,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0..480
7,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",320
8,Рабочий стол,
9,"Размеры рабочей поверхности стола, мм",250 х 630
10,"Наибольшая масса заготовки, кг",100
11,Число Т-образных пазов Размеры Т-образных пазов,3
12,"Цена деления лимбов, мм",005
13,"Наибольшее перемещение по осям X и Y, мм",500/ 190
14,"Шпиндель, шпиндельная головка",
15,"Наибольшее установочное перемещение шпиндельной головки, мм",400
16,"Ход гильзы шпинделя, мм",110
17,"Частота вращения шпинделя, об/мин",90..1400
18,Количество скоростей шпинделя,9
19,Размер внутреннего конуса шпинделя,Морзе 3
20,"Поворот шпиндельной головки, град",-
21,"Диапазон механических подач шпинделя, об/мин",-
22,Привод,
23,"Электродвигатель привода главного движения, кВт",15
24,Габарит и масса станка,
25,"Габариты станка (длина ширина высота), мм",1200 x 1220 x 1230
26,"Масса станка, кг",440
