index,Наименование параметра,3Д722
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий (длина х ширина х высота), мм",1000 х 320 х 400
3,"Наибольшие размеры обрабатываемых изделий на плите электромагнитной (длина х ширина х высота), мм",900 х 320 х 280
4,"Наименьшие размеры обрабатываемых изделий на плите электромагнитной (длина х ширина х высота), мм",50 х 40 х 5
5,"Расстояние от оси шпинделя до зеркала стола, мм",210..625
6,"Наибольшая масса изделий обрабатываемых на столе, кг",600
7,"Наибольшая масса изделий обрабатываемых на плите электромагнитной, кг",300
8,Рабочий стол станка,
9,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 320
10,"Размеры поверхности электромагнитной плиты (длина х ширина), мм",900 х 320
11,"Продольное перемещение стола от гидравлики (наименьшее/наибольшее, мм",300..1010
12,"Скорость возвратно-поступательного движения стола (регулирование бесступенчатое), м/мин",3..45
13,Шлифовальная бабка,
14,"Размеры шлифовального круга (наименьший и наибольший наружный диаметры), мм",
15,"Размеры шлифовального круга (внутренний диаметр/ высота), мм",
16,Размеры шлифовального круга по ГОСТ 2424-75,ПП450х80х203
17,Число оборотов шлифовального круга в минуту,1460
18,"Наибольший допустимый крутящий момент на шпинделе, кгс*м",
19,"Наибольшая скорость шлифования, м/с",
20,"Конец шпинделя шлифовальной бабки по ГОСТ 2323-67, ГОСТ 2323-76 (конструкция/ конусность/ наибольший диаметр)",1/ 1:5/ 80
21,"Наибольшее поперечное перемещение шлифовальной бабки (стойки), мм",410
22,"Цена деления лимба поперечного перемещения шлифовальной бабки, мм",
23,"Поперечное перемещение шлифовальной бабки на один оборот лимба, мм",
24,"Ускоренное поперечное перемещение шлифовальной бабки, м/мин",
25,"Пределы скоростей поперечной подачи шлифовальной бабки (бесступенчатое регулирование), м/мин",05..30
26,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм/ход",2..48
27,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",415
28,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",0004
29,"Вертикальное перемещение шлифовальной бабки на один оборот лимба, мм",05
30,"Автоматические вертикальные подачи шлифовальной бабки, мм",0004..01
31,"Скорость вертикального ускоренного перемещения, м/мин",0450
32,Привод и электрооборудование станка,
33,Количество электродвигателей на станке,8
34,"Электродвигатель шпинделя шлифовальной бабки (М1), кВт",15
35,"Электродвигатель насоса гидросистемы (М2) (гидростанция), кВт",75
36,"Электродвигатели воздушного теплообменника (М3, М11) (гидростанция), кВт",012
37,"Электродвигатель насоса системы смазки (М4), кВт",025
38,"Электродвигатель привода механизма правки круга (М5), кВт",
39,"Электродвигатель насоса системы охлаждения (М6), кВт",06
40,"Электродвигатель магнитного сепаратора (М7), кВт",012
41,"Электродвигатель фильтра транспортера (М8), кВт",012
42,"Электродвигатель регулировки дросселя скорости движения стола (М9) (гидростанция), кВт",
43,"Электродвигатель насоса охлаждения масла (М10) гидростанция, кВт",
44,"Электродвигатель вертикального ускоренного перемещения шлифовальной бабки (М12), кВт",075
45,"Электродвигатель привода поперечной подачи стойки (М13), кВт",
46,"Электродвигатель вертикальной подачи шлифовальной бабки (М14), кВт",
47,"Электродвигатель насоса откачки утечек, кВт",025
48,"Общая установленная мощность всех электродвигателей, кВт",
49,род тока питающей сети,"50Гц, 380 В"
50,Габариты и масса станка,
51,"Габарит станка (длина х ширина х высота), мм",3510 х 2130 х 2360
52,"Масса станка, кг",8400
