index,Наименование параметра,ДИП-500(1Д65)
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемой заготовки над станиной, мм",1000
3,"Наибольший диаметр обрабатываемой заготовки над суппортом, мм",620
4,"Наибольшая длина заготовки (РМЦ), мм",5000
5,"Высота устанавливаемого резца, мм",
6,"Наибольшая масса заготовки в центрах, кг",
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",100
9,"Наибольший диаметр зажимаемого прутка, мм",
10,"Наибольший крутящий момент на шпинделе, кН/м",
11,Число ступеней частот прямого вращения шпинделя,12
12,"Частота прямого вращения шпинделя, об/мин",425..192
13,Размер внутреннего конуса в шпинделе,КМ 6
14,Конец шпинделя по ГОСТ 12595-72,
15,"Диаметр стандартного патрона, мм",
16,Торможение шпинделя,есть
17,Подачи,
18,"Наибольшее продольное перемещение суппорта РМЦ=3000, мм",
19,"Наибольшее поперечное перемещение суппорта, мм",
20,"Цена деления лимба при продольном перемещении, мм",нет
21,"Цена деления лимба при поперечном перемещении, мм",005
22,"Наибольшее продольное перемещение на оборот лимба, мм",10
23,"Наибольшее поперечное перемещение на оборот лимба, мм",12
24,Число ступеней продольных подач,
25,"Пределы продольных подач, мм/об",0225..315
26,"Пределы поперечных подач, мм/об",0114..16
27,"Наибольшее продольное усилие резания Pz, кН",
28,"Наибольшее поперечное усилие резания Pх, кН",
29,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
30,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
31,Количество нарезаемых резьб метрических,22
32,"Пределы шагов нарезаемых резьб метрических, мм",1..14
33,Количество нарезаемых резьб дюймовых,36
34,Пределы шагов нарезаемых резьб дюймовых,2..28
35,Количество нарезаемых резьб модульных,13
36,Пределы шагов нарезаемых резьб модульных,025..35
37,Количество нарезаемых резьб питчевых,нет
38,Выключающие упоры продольные,нет
39,Выключающие упоры поперечные,нет
40,Резцовые салазки (верхний суппорт),
41,"Наибольшее перемещение резцовых салазок, мм",
42,"Цена деления лимба перемещения резцовых салазок, мм",005
43,Число ступеней подач,
44,"Пределы продольных подач, мм/об",
45,"Скорость быстрых перемещений, мм/мин",
46,"Наибольший угол поворота, град",
47,"Цена одного деления угла поворота, град",
48,Задняя бабка,
49,Центр в шпинделе по ГОСТ 13214-79,Морзе 6
50,"Наибольшее перемещение пиноли, мм",
51,"Наибольшее перемещение пиноли с установленным инструментом, мм",
52,"Диаметр пиноли, мм",120
53,"Наибольшее перемещение пиноли в поперечном направлении, мм",±30
54,Электрооборудование,
55,Количество электродвигателей на станке,1
56,"Электродвигатель главного привода, кВт",17
57,"Электродвигатель быстрого хода суппорта, кВт",нет
58,Привод насоса смазки,Встроен
59,Насос охлаждения (помпа),
60,"Суммарная мощность всех электродвигателей, кВт",
61,Габариты и масса станка,
62,"Габариты станка (длина ширина высота) РМЦ=2800,3000, мм",8000 х 1700 х 1620
63,"Масса станка РМЦ=3000, кг",11500
