index,Наименование параметра,1М63МФ101
0,Основные технические данные станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",630
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",350
4,"Высота центров, мм",315
5,"Наибольшая длина устанавливаемой детали РМЦ, мм",1500
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",335
7,"Наибольшая длина обработки детали (без перестановки резцовых салазок), мм",
8,"Высота резца, установленного в резцедержатель, мм",32
9,"Наибольшая масса обрабатываемой детали, кг",
10,Шпиндель,
11,"Частота прямого/ обратного вращения шпинделя, об/мин",125..1600224..2240
12,Количество прямых/ обратных скоростей шпинделя,22/ 11
13,"Диаметр отверстия в шпинделе, мм",80
14,Центр в шпинделе по ГОСТ 13214-79,Морзе 6
15,Конец шпинделя по ГОСТ 12593-72,8м
16,Размер внутреннего конуса шпинделя,Метрический 100
17,"Наибольший крутящий момент на шпинделе, кНм",33
18,Торможение шпинделя,есть
19,Суппорт. Подачи,
20,"Наибольшее перемещение продольное/ поперечное, мм",1360/ 400
21,Количество подач продольных/ поперечных/ резцовых салазок,32/ 32/ 32
22,"Пределы рабочих подач продольных/ поперечных/ резцовых салазок, мм/об",006-140024-05180019-0434
23,"Пределы увеличенных подач подач продольных/ поперечных/ резцовых салазок, мм/об",024-560096-20720076-1736
24,"Пределы/ количество шагов метрических резьб, мм",1-224/ 46
25,"Пределы/ количество шагов дюймовых резьб, ниток/дюйм","28-0,25/ 31"
26,"Пределы/ количество шагов модульных резьб, модуль","0,25-56/ 37"
27,"Пределы/ количество шагов питчевых резьб, питч диаметральный","112-0,5 /30"
28,"Скорость быстрых перемещений продольных/ поперечных, м/мин","4,5/ 1,6"
29,"Наибольшее усилие резания, допускаемое механизмом подач, кН",222
30,"Цена деления лимба при продольном/ поперечном на диаметр перемещении, мм","1/ 0,05"
31,"Перемещение на оборот лимба при продольном/ поперечном перемещении, мм",300/ 5
32,Резцовые салазки,
33,"Наибольшее перемещение резцовых салазок, мм",220
34,"Наибольший угол поворота резцовых салазок, град",±90°
35,"Цена деления лимба при перемещении резцовых салазок, мм",005
36,"Перемещение на оборот лимба при при перемещении резцовых салазок, мм",5
37,Задняя бабка,
38,"Наибольшее перемещение пиноли, мм",240
39,"Поперечное смещение задней бабки, мм",±10
40,Конус под центр в пиноли,Морзе 5
41,Устройство цифровой индикации (УЦИ),
42,Модель УЦИ,Ф5290
43,Тип датчика,Сельсин БС-155А
44,"Диапазон измерений перемещения, мм",001...999999
45,"Дискретность отсчета, мкм",10
46,"Нестабильность (временный уход) показаний блока совместно с сельсином не превышает, мкм",±2
47,"Масса УЦИ не превышает, кг",5
48,Электроборудование станка,
49,Количество электродвигателей на станке,3
50,"Электродвигатель главного движения, кВт (об/мин)","18,5 (1465)"
51,"Электродвигатель быстрых перемещений, кВт (об/мин)","1,1 (1400)"
52,"Электродвигатель насоса СОЖ, кВт (об/мин)","0,12 (2800)"
53,Габариты и масса станка,
54,"Габариты станка (длина, ширина, высота), мм",3655 х 1590 х 1420
55,"Масса станка, кг",4400
