index,Наименование параметра,Р-175
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",12
2,"Диаметр зажима, мм",3..16
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..350
4,Наименьшее и наибольшее расстояние от торца шпинделя до подвижного стола,-
5,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",
6,Рабочий стол,
7,"Ширина рабочей поверхности стола, мм",
8,"Ширина рабочей поверхности подвижного стола, мм",-
9,Число Т-образных пазов на рабочем столе - основании,1
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной (сверлильной) головки по колонне, мм",250
12,"Ход гильзы шпинделя, мм",100
13,"Номинальная частота вращения шпинделя, об/мин","550, 750, 1440, 2500, 3750"
14,Количество скоростей шпинделя,5
15,Конус шпинделя,
16,Привод,
17,"Напряжение питания привода главного движения, В",380 В
18,"Электродвигатель привода главного движения, кВт (об/мин)",075
19,Габарит и масса станка,
20,"Габариты станка (длина ширина высота), мм",710 х 390 х 980
21,"Масса станка, кг",115
