index,Наименование параметра,749
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший размер обрабатываемой детали (высота х длина х ширина), мм",100 х 180 х 170
3,"Наибольший вес обрабатываемой детали, кг",20
4,"Длина хода ползуна, мм",100
5,"Наибольшее сечение резца, мм",25 х 18
6,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",280
7,"Высота ползуна над рабочей поверхностью стола, мм",200
8,Стол,
9,"Размеры рабочей поверхности стола, мм",220 х 440
10,"Диаметр рабочей поверхности стола, мм",250
11,"Наибольшее перемещение стола продольное (на резец), мм",140
12,"Наибольшее перемещение стола поперечное, мм",200
13,"Наибольшее перемещение стола круговое, град",360°
14,Суппорт,
15,"Наибольшее допустимое усилие резания без выкружки, кгс",200
16,"Наибольшее допустимое усилие резания с выкружкой, кгс",700
17,Числа двойных ходов ползуна в минуту,"31,5; 40; 50; 125"
18,Число подач суппорта,
19,"Подача продольная на один ход ползуна, мм/дв.ход",005..05
20,"Подача поперечная на один ход ползуна, мм/дв.ход",005..05
21,"Подача круговая на один ход ползуна, град",0056..056
22,Электрооборудование. Привод,
23,Количество электродвигателей на станке,1
24,"Электродвигатель привода стола, кВт","0,6; 0,7; 1,1; 1,3"
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",1640 х 840 х 1380
27,"Масса станка, кг",830
