index,Наименование параметра,2М57
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",75
3,"Наибольший условный диаметр сверления в чугуне, мм",
4,"Диапазон нарезаемой резьбы в стали 45, мм",
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",500..2000
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",1500
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",400..2000
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",1100
9,"Скорость вертикального перемещения рукава по колонне, м/мин",075
10,"Скорость перемещения головки по рукаву, м/мин",
11,"Скорость поворота рукава, м/мин",-
12,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",
13,"Угол поворота рукава вокруг колонны, град",
14,"Радиус сверления, мм",
15,"Размер поверхности плиты (ширина длина), мм",
16,"Диаметр колонны, мм",
17,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
18,Шпиндель,
19,"Диаметр гильзы шпинделя, мм",
20,Обозначение конца шпинделя по ГОСТ 24644-81,Морзе 6
21,"Частота прямого вращения шпинделя, об/мин",125..1600
22,Количество скоростей шпинделя прямого вращения,22
23,"Частота обратного вращения шпинделя, об/мин",
24,Количество скоростей шпинделя обратного вращения,
25,"Пределы рабочих подач на один оборот шпинделя, мм/об",0063..315
26,"Пределы рабочих подач на один оборот шпинделя, мм/мин",
27,Число ступеней рабочих подач,18
28,"Скорость ускоренного перемещения гильзы шпинделя, м/мин",
29,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
30,"Перемещение шпинделя на одно деление лимба, мм",1
31,"Перемещение шпинделя на оборот лимба, мм",150
32,"Наибольший допустимый крутящий момент на шпинделе, Н*м",1400
33,"Наибольшее усилие подачи, кН",32
34,"Осевое усилие зажима инструмента, Н",
35,Зажим рукава на колонне,
36,Зажим сверлильной головки на рукаве,
37,Электрооборудование. Привод,
38,"Питающая электросеть, В",380±38
39,"Цепь управления, В",
40,"Цепь сигнализации, В",
41,"Цепь местного освещения, В",
42,"Электропривод станка, В",380
43,Количество электродвигателей на станке,5
44,"Электродвигатель привода главного движения, кВт",75
45,"Электродвигатель привода перемещения рукава, кВт",30
46,"Электродвигатель привода гидрозажима колонны, кВт",05
47,"Электродвигатель привода гидрозажима сверлильной головки, кВт",08
48,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
49,"Электродвигатель набора скоростей, кВт",
50,"Электродвигатель набора подач, кВт",
51,"Суммарная мощность установленных электродвигателей, кВт",
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота), мм",1500 х 1630 х 4170
54,"Масса станка, кг",10500
