index,Наименование параметра,8Г240
0,Основные параметры станка,
1,"Диаметр отрезного абразивного круга, мм",300/ 400
2,"Максимальный износ абразивного отрезного круга до диаметра, мм",
3,"Толщина отрезного абразивного круга, мм","3,2; 4"
4,"Посадочный диаметр отрезного абразивного круга, мм",32h6
5,"Наибольший диаметр отрезаемого прутка (угол реза 90°), мм",60
6,"Наибольший диаметр отрезаемой трубы (угол реза 90°), мм",100
7,"Наибольшие размеры разрезаемого квадрата, мм",60 х 60
8,"Наибольшие размеры уголка, мм",90 х 90 х 9
9,"Наибольшие размеры швеллера, мм",№ 10
10,"Длина отрезаемой заготовки по упору, мм",25..500
11,"Угол резки, град",90° ± 45°
12,"Начальная скорость резания, м/сек","50, 63, 80, 100"
13,"Частота вращения отрезного абразивного круга Ø 300 мм, об/мин","3185, 4013, 5096, 6310"
14,"Частота вращения отрезного абразивного круга Ø 400 мм, об/мин","2389, 3010, 3822, 4777"
15,Перемещение материала до упора,гидравл
16,Привод вспомогательных движений,гидравл
17,Регулирование зажима для различных размеров материалов,автоматич
18,Шпиндельная головка,
19,"Величина хода шпиндельной головки, мм",
20,"Скорость подачи абразивного круга, мм/мин",60..2600
21,Регулирование скорости подачи абразивного круга,бесступ
22,"Скорость отвода абразивного круга, мм/мин",3000
23,Электрооборудование станка,
24,Количество электродвигателей на станке,
25,"Электродвигатель главного привода, кВт (об/мин)",15
26,"Электродвигатель насоса охлаждения, кВт (об/мин)",012
27,Габарит и масса станка,
28,"Габарит станка (длна х ширина х высота), мм",1800 х 1910 х 1810
29,"Масса станка, кг",1230
