index,Наименование параметра,4К722АФ1
0,Основные параметры станка,
1,Класс точности станка,А
2,"Размеры рабочей поверхности стола, мм",400 х 630
3,Количество Т-образных пазов ГОСТ 6569—75,5
4,"Ширина зажимных Т-образных пазов по ГОСТ 1574—75, мм",12Н12
5,"Ширина среднего Т-образного паза, мм",12Н8
6,"Расстояние между Т-образными пазами по ГОСТ 6569—75, мм",801S4
7,"Наибольший ход стола (поперечный / продольный), мм",250 / 400
8,"Наибольшее расстояние от торца пиноли до рабочей поверхности стола, мм",690
9,"Расстояние от оси пиноли до колонны, мм",400
10,"Вместимость ванны стола, л",110
11,"Скорость поворота рукава, м/мин",
12,"Наибольший уровень диэлектрической жидкости над рабочей поверхностью стола, мм",300
13,"Наибольший ход пиноли, мм",200
14,"Наибольший ход пинольной головки, мм",280
15,"Точность отсчета координат, мм",0001
16,"Точность установки по осям X и У, мм","±0,005"
17,"Точность установки по оси Z, мм",0002
19,"Наибольшая допустимая масса электрода-инструмента с электродержателем, кг",30
20,"Наибольшая производительность по закаленной стали 45 ГОСТ 1050—74, мм3/мин",500—15%
21,"Наилучшая шероховатость обработанной поверхности по закаленной стали ГОСТ 1050—74, мкм","Ra 1,25"
22,"Корректированный уровень звуковой мощности, LpA, дБА",95
23,Электрооборудование. Привод,
24,"Питающая электросеть, В",380±38
25,"Тип цифровой индикации перемещений по координатам X, Y, Z",ЛЮМО-61
26,Источник импульсов тока широкодиапазонный генератор импульсов,ШГИ-63-440М
27,"Номинальная сила тока генератора, А",63
28,"Максимальная потребляемая мощность, кВт",6
29,"Цепь управления, В",~110
30,"Цепь местного освещения, В",~24
31,Количество электродвигателей на станке,
32,"Электродвигатель привода салазок, кВт (об/мин)","=0,37 ДПМ-2,5 (1500)"
33,"Электродвигатель привода стола, кВт (об/мин)","=0,37 ДПМ-2,5 (1500)"
34,"Электродвигатель привода пинольной головки, кВт","0,18 (1500)"
35,"Электродвигатель вращения шпинделя, кВт","=0,055 (3600..4600)"
36,"Электродвигатель насоса гидравлики, кВт","1,1 (1500)"
37,"Электродвигатель насоса диэлектрической жидкости, кВт",22
38,"Электродвигатель прокачки диэлектрической жидкости через межэлектродный зазор, кВт","=0,055 (4600)"
39,"Электродвигатель отсоса диэлектрической жидкости через межэлектродный зазор, кВт","0,27 (1400)"
40,"Электродвигатель вращения орбитальной головки, кВт","=0,055 (3600..4600)"
41,"Электродвигатель приспособления резки проволокой, кВт",001
42,"Суммарная мощность установленных электродвигателей и источника импульсов тока, кВт",10965
43,Габариты и масса станка,
44,"Габариты станка (длина ширина высота), мм",1565 х 1590 х 2410
45,"Масса станка (с приставным оборудованием), кг",2800 (4400)
