index,Наименование параметра,2М118
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",18
2,"Наибольший диаметр сверления в стали 45, мм",18
3,"Наибольший диаметр сверления в чугуне СЧ20, мм",
4,"Нарезание резьбы в стали 45, мм",М12
5,Наименьшее и наибольшее расстояние от торца шпинделя до стола,300..550
6,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",245
7,Рабочий стол,
8,"Размер рабочей поверхности основания, мм",330 х 310
9,Число Т-образных пазов Размеры Т-образных пазов,2
10,"Размер рабочей поверхности стола, мм",300 х 280
11,Шпиндель,
12,"Наибольшее перемещение сверлильной (шпиндельной) головки (бабки), мм",
13,"Ход гильзы шпинделя, мм",120
14,"Цена деления лимба, мм",1
15,"Частота вращения шпинделя, об/мин","300, 470, 800, 1350, 2100"
16,Количество скоростей шпинделя,5
17,Конус шпинделя наружный по ГОСТ 9953-82,Морзе 3
18,Конус шпинделя внутренний по ГОСТ 25557-82,
19,"Наибольший крутящий момент на шпинделе, Нм",
20,"Наибольшая осевая сила резания, Н",
21,Привод,
22,"Электродвигатель привода главного движения, кВт",11
23,"Электродвигатель насоса СОЖ, кВт",
24,Габарит и масса станка,
25,"Габариты станка (длина ширина высота), мм",880 х 500 х 1100
26,"Масса станка, кг",120
