index,Наименование параметра,2Л614
0,Основные параметры станка,
1,Класс точности станков по ГОСТ 8-77,Н
2,"Диаметр выдвижного расточного шпинделя, мм",80
3,"Наибольший диаметр расточки шпинделем, мм",350
4,"Наибольший диаметр расточки суппортом планшайбы, мм",420
5,"Наибольшая диаметр торцевой расточки и обточки суппортом планшайбы, мм",500
6,"Точность установки координат, мм",
7,"Точность установки поворотного стола, сек",
8,"Наибольший диаметр сверла (по конусу), мм",50
9,Стол,
10,"Рабочая поверхность встроенного поворотного стола, мм",800 х 1000
11,"Наибольшая масса обрабатываемого изделия, кг",1000
12,"Наибольшее перемещение стола (продольное / поперечное), мм",800/ 1000
13,"Пределы рабочих подач стола (вдоль и поперек), мм/мин",126...2000
14,"Наибольшее усиление подачи стола (вдоль и поперек), кН",10
15,"Деление шкалы лимба, мм",005
16,"Деление шкалы лимба поворота стола, град",10`
17,Выключающие упоры для крайних положений,есть
18,"Скорость быстрых продольных перемещений стола, м/мин",218
19,"Скорость быстрых поперечных перемещений стола, м/мин",218
20,"Скорость быстрых установочных круговых перемещений стола, об/мин",
21,"Шпиндельная бабка, выдвижной шпиндель, планшайба",
22,"Наибольшее горизонтальное (осевое) перемещение выдвижного шпинделя, мм",500
23,"Частота вращения шпинделя, об/мин",20..1600
24,Количество скоростей шпинделя,20
25,"Пределы рабочих подач шпинделя, мм/мин",22..1760
26,Конец выдвижного шпинделя по ГОСТ 24644-81 с конусом для крепления инструмента,40АТ5
27,Конец выдвижного шпинделя по ГОСТ 6569-75 с конусом для крепления инструмента,Морзе 5
28,"Пределы рабочих подач радиального суппорта, мм/мин",089..710
29,"Пределы рабочих подач шпиндельной бабки, мм/мин",14..1110
30,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",800
31,"Скорость быстрых перемещений шпиндельной бабки, м/мин",218
32,"Скорость быстрых перемещений шпинделя, м/мин",348
33,"Скорость вращения планшайбы, об/мин",8..200
34,Количество скоростей планшайбы,16
35,Возможность отключения вращения планшайбы,есть
36,Возможность одновременной подачи суппорта и шпинделя,
37,"Наибольшее перемещение радиального суппорта планшайбы, мм",120
38,"Скорость быстрых перемещений радиального суппорта, м/мин",14
39,"Наибольший крутящий момент на шпинделе, Н*м",880
40,"Наибольший крутящий момент на планшайбе, Н*м",1320
41,"Наибольшее усиление подачи шпинделя, кН",75
42,"Наибольшее усиление подачи суппорта, кН",
43,"Наибольшее усиление подачи бабки, кН",
44,"Нарезаемая метрическая резьба, мм",
45,"Нарезаемая дюймовая резьба, число ниток на 1""",
46,"Электрооборудование, привод",
47,"Напряжение силовой цепи, В",~380/220В 50Гц
48,"Напряжение цепей управления, В",~110; -24
49,Количество электродвигателей на станке,
50,"Электродвигатель привода главного движения, кВт",67
51,"Электродвигатель привода поворота стола, кВт",08
52,Электродвигатель привода подачи (постоянного тока),"1,6 кВт"
53,"Электродвигатель привода насоса смазки, кВт",012
54,"Электродвигатель привода люнета, кВт",04
55,"Суммарная мощность электродвигателей, кВт",
56,Габариты и масса станка,
57,"Габариты станка, включая ход стола и салазок, мм",4300 х 2075 х 2490
58,"Масса станка, кг",7350
