index,Наименование параметра,679
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры горизонтального (углового) стола, мм",270 х 700
3,"Размеры вертикального стола, мм",260 х 710
4,"Максимальная масса обрабатываемой детали, кг",
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",30..360
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..265
7,"Вылет оси вертикального шпинделя, мм",155..355
8,"Наибольший продольный ход стола (X), мм",300
9,"Наибольший поперечный ход шпиндельной (горизонтальной) бабки вертикального шпинделя (Y), мм",200
10,"Наибольший вертикальный ход стола (Z), мм",330
11,Вертикальный и горизонтальный шпиндели,
12,"Частота вращения горизонтального шпинделя, об/мин",110..1230
13,"Частота вращения вертикального шпинделя, об/мин",150..1660
14,Количество скоростей горизонтального и вертикального шпинделя,8
15,"Цена деления лимбов, мм",005
16,"Цена деления линеек, мм",10
17,Конус горизонтального и вертикального шпинделей,Морзе 4
18,"Пределы подач горизонтальной шпиндельной бабки, мм/мин",25..285
19,Количество подач шпиндельной бабки,8
20,"Ускоренный ход шпиндельной бабки, м/мин",нет
21,Зажим-отжим инструмента,Ручной
22,Торможение шпинделя,нет
23,Вертикальная фрезерная головка,
24,"Наибольшее осевое перемещение гильзы вертикального шпинделя, мм",80
25,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±45
26,"Масса вертикальной фрезерной головки, кг",
27,Стол угловой горизонтальный,
28,Количество подач стола в продольном и вертикальном направлении,8
29,"Пределы продольных и вертикальных подач стола (X, Y), мм/мин",25..285
30,"Ускоренный ход стола в продольном и вертикальном направлении, м/мин",нет
31,Число Т - образных пазов,
32,Масса углового горизонтального стола,
33,Угловой универсальный стол,
34,"Размеры горизонтального универсального стола, мм",250 х 600
35,"Наибольший угол поворота в горизонтальной плоскости, град",±30°
36,"Наклон длинной стороны, град",±45°
37,"Наклон короткой стороны, град",±30°
38,Масса углового горизонтального стола,нет
39,Привод и электрооборудование станка,
40,Количество электродвигателей на станке,2
41,"Электродвигатель главного привода, кВт (об/мин)","2,8 (1420)"
42,"Электродвигатель зажима инструмента вертикального шпинделя, кВт",
43,"Электродвигатель зажима инструмента горизонтального шпинделя, кВт",
44,"Электродвигатель привода насоса охлаждения, кВт",
45,"Суммарная мощность электродвигателей, кВт",
46,Габариты и масса станка,
47,"Габариты станка (длина х ширина х высота), мм",1150 х 1400 х 1650
48,"Масса станка полная, кг",1190
