index,Наименование параметра,1Е61
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",320
3,"Высота центров, мм",170
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",188
5,"Наибольшая длина устанавливаемой детали РМЦ, мм",750
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",192
7,"Расстояние от оси шпинделя до направляющих станины (высота центров), мм",170
8,Шпиндель,
9,"Диаметр отверстия в шпинделе, мм",325
10,"Диаметр прутка проходящего через отверстие в шпинделе, мм",32
11,"Частота вращения шпинделя, об/мин",33..1500
12,Количество прямых и обратных скоростей шпинделя,12
13,Центр в шпинделе по ГОСТ 13214-67,Морзе 5
14,Конец шпинделя по ГОСТ 12595-72,М86 х 6
15,Торможение шпинделя,есть
16,Блокировка шпинделя,есть
17,Защита от перегрузок шпинделя,есть
18,Суппорт. Подачи,
19,"Наибольшая длина хода суппорта (каретки) - продольное перемещение от руки, мм",810
20,"Наибольшая длина хода суппорта (каретки) - продольное перемещение по валику, мм",810
21,"Наибольшая длина хода суппорта (каретки) - продольное перемещение по винту, мм",810
22,"Наибольшее поперечное перемещение суппорта от руки, мм",250
23,"Наибольшее поперечное перемещение суппорта по валику, мм",250
24,"Продольное перемещение суппорта на одно деление лимба, мм",02
25,"Продольное перемещение суппорта на один оборот лимба, мм",28
26,"Поперечное перемещение суппорта на одно деление лимба, мм",002
27,"Поперечное перемещение суппорта на один оборот лимба, мм",6
28,"Наибольшее перемещение верхнего суппорта (резцовых салазок), мм",130
29,"Перемещение верхнего суппорта на одно деление лимба, мм",002
30,"Перемещение верхнего суппорта на один оборот лимба, мм",3
31,Количество подач продольных/ поперечных суппорта,
32,"Пределы подач продольных, мм",004..6
33,"Пределы подач поперечных, мм",0025..375
34,"Количество нарезаемых резьб метрических, мм",
35,"Количество нарезаемых резьб модульных, мм",
36,"Количество нарезаемых резьб дюймовых, мм",
37,"Пределы шагов метрических резьб нормальной точности, мм",02..30
38,"Пределы шагов метрических резьб повышенной точности, мм",035..12
39,"Пределы шагов модульных резьб нормальной точности, модуль",1..75
40,"Пределы шагов модульных резьб повышенной точности, ниток/дюйм",05..5
41,"Пределы шагов дюймовых резьб нормальной точности, ниток/дюйм",12..30
42,"Пределы шагов дюймовых резьб повышенной точности, ниток/дюйм",3..20
43,"Пределы шагов питчевых резьб нормальной точности, питчей",-
44,"Пределы шагов питчевых резьб повышенной точности, ниток/дюйм",5..20
45,"Скорость быстрых перемещений продольных/ поперечных, м/мин",нет
46,"Высота резца, устанавливаемого в резцедержателе, мм",20 х 20
47,Выключающие упоры,есть
48,Задняя бабка,
49,"Наибольшее перемещение пиноли, мм",100
50,"Цена деления лимба задней бабки, мм",
51,Центр в пиноли по ГОСТ 12595-72,Морзе 3
52,"Поперечное смещение задней бабки, мм",±20
53,"Диаметр сверла при сверлении стали, мм",
54,"Диаметр сверла при сверлении чугуна, мм",
55,Электрооборудование станка,
56,Количество электродвигателей на станке,3
57,"Мощность электродвигателя главного привода, кВт (об/мин)","3,2 (1440)"
58,"Мощность электродвигателя насоса охлаждения, кВт (об/мин)","0,125 (2700)"
59,"Мощность электродвигателя насоса смазки, кВт (об/мин)","0,125 (2700)"
60,"Мощность электродвигателя вентилятора, кВт",нет
61,Габариты и масса станка,
62,"Габариты станка (длина ширина высота), мм",2275 х 950 х 1590
63,"Масса станка, кг",1850
