index,Наименование параметра,6В11
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 250
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,30..400
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",300
5,"Расстояние от задней кромки стола до вертикальных направляющих станины, мм",20..280
6,Шпиндель,
7,"Частота вращения шпинделя, об/мин",45..2240
8,Количество скоростей шпинделя,18
9,Эскиз конца шпинделя,№3 по ГОСТ 836-47
10,Конус шпинделя,
11,Диаметр отверстия фрез шпинделя,26
12,Наибольший допустимый крутящий момент на шпинделе Нм,
13,Рабочий стол,
14,Число Т-образных пазов Размеры Т-образных пазов,3
15,"Наибольшее перемещение стола продольное от руки/ от двигателя (ось X), мм",650/ 640
16,"Наибольшее перемещение стола поперечное от руки/ от двигателя (ось Y), мм",210/ 200
17,"Наибольшее перемещение стола вертикальное от руки/ от двигателя (ось Z), мм",360/ 350
18,"Наибольший угол поворота стола, град",
19,"Цена одного деления шкалы поворота стола, град",
20,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",005
21,"Перемещение стола на одно деление лимба (вертикальное), мм",005
22,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
23,"Перемещение стола на один оборот лимба вертикальное, мм",2
24,"Наибольшее усилие, допускаемое механизмом подач в продольном/ поперечном/ вертикальном направлении, кг",1200/ 1200/ 500
25,Механика станка,
26,"Быстрый ход стола продольный (ось X), м/мин",
27,"Быстрый ход стола поперечный (ось Y), м/мин",
28,"Быстрый ход стола вертикальный (ось Z), м/мин",
29,Число ступеней рабочих подач стола,18
30,"Пределы рабочих подач. Продольных (ось X), мм/мин",20..1000
31,"Пределы рабочих подач. Поперечных (ось Y), мм/мин",212..1060
32,"Пределы рабочих подач. Вертикальных (ось Z), мм/мин",8..385
33,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
34,Автоматическая прерывная подача в продольном/ поперечном/ вертикальном направлении,есть/ нет/ нет
35,Блокировка ручной и механической подачи (продольной),нет
36,"Блокировка ручной и механической подачи (поперечной, вертикальной)",есть
37,Торможение шпинделя (муфта),есть
38,Предохранение от перегрузки (муфта),есть
39,Привод,
40,"Электродвигатель привода главного движения, кВт (об/мин)","5,5 (1440)"
41,"Электродвигатель привода подач, кВт","1,1 (1410)"
42,Электронасос охлаждающей жидкости Тип,
43,"Электродвигатель насоса охлаждающей жидкости, кВт","0,12 (2800)"
44,"Производительность насоса СОЖ, л/мин",
45,Габарит и масса станка,
46,"Габариты станка (длина ширина высота), мм",1740 х 1580 х 2265
47,"Масса станка, кг",2000
