index,Наименование параметра,1А62Г
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",400
3,"Наибольший диаметр заготовки над суппортом, мм",210
4,"Наибольшая длина заготовки (РМЦ), мм",1000
5,"Наибольшая длина обработки (точения), мм",900
6,"Наибольший диаметр заготовки над выемкой, мм",600
7,"Наибольшая длина обработки (точения) над выемкой, мм",300
8,"Наибольшая масса заготовки в патроне, кг",290
9,"Наибольшая масса заготовки в центрах, кг",1150
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",38
12,"Наибольший диаметр прутка, мм",36
13,Число ступеней частот прямого вращения шпинделя,21
14,"Частота прямого вращения шпинделя, об/мин",115..1200
15,Число ступеней частот обратного вращения шпинделя,12
16,"Частота обратного вращения шпинделя, об/мин",18..1520
17,"Размер внутреннего конуса в шпинделе, М",Морзе 5
18,Конец шпинделя по ГОСТ 12593-72,6К
19,Суппорт. Коробка подач,
20,"Наибольшая длина продольного хода каретки суппорта, мм",900
21,"Наибольший поперечный ход суппорта, мм",280
22,"Наибольший ход верхнего суппорта (резцовых салазок), мм",113
23,Число ступеней продольных подач,35
24,"Пределы рабочих подач продольных, мм/об",0082...159
25,Число ступеней поперечных подач,35
26,"Пределы рабочих подач поперечных, мм/об",0027..0522
27,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
28,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
29,Количество нарезаемых резьб метрических,19
30,"Пределы шагов нарезаемых резьб метрических, мм",1..12
31,Количество нарезаемых резьб дюймовых,20
32,Пределы шагов нарезаемых резьб дюймовых,24..2
33,Количество нарезаемых резьб модульных,10
34,Пределы шагов нарезаемых резьб модульных,05..3
35,Количество нарезаемых резьб питчевых,24
36,Пределы шагов нарезаемых резьб питчевых,95..7
37,"Вертикальное расстояние от оси шпинделя до основания резца, мм",25
38,"Наибольшие размеры державки резца, мм",25 х 25
39,"Цена деления лимба продольного перемещения суппорта, мм",10
40,"Цена деления лимба поперечного перемещения суппорта, мм",005
41,"Цена деления лимба поперечного перемещения верхнего суппорта (резцовых салазок), мм",005
42,Задняя бабка,
43,Конус отверстия пиноли задней бабки по ГОСТ 2847-67,Морзе 5
44,"Наибольшее перемещение пиноли, мм",150
45,"Перемещение пиноли на одно деление лимба, мм",01
46,"Величина поперечного смещения корпуса бабки, мм",±15
47,Электрооборудование,
48,Количество электродвигателей на станке,2
49,"Электродвигатель главного привода, кВт",75
50,"Электродвигатель быстрых перемещений, кВт",нет
51,"Электродвигатель гидростанции, кВт",нет
52,"Электродвигатель насоса охлаждения, кВт",0125
53,Насос охлаждения (помпа),ПА-22
54,Габариты и масса станка,
55,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",1295 х 2785 х 1500
56,"Масса станка (РМЦ = 1000), кг",1960
