index,Наименование параметра,НГФ-110Ш3
0,Основные параметры станка,
1,"Основные размеры ГОСТ, ТУ",ТУ-79 РСФСР 355-72
2,Класс точности по ГОСТ 8-82,Н
3,"Размеры рабочей поверхности стола (длина х ширина), мм",100 х 400
4,"Расстояние от оси горизонтального шпинделя до стола, мм",30..200
5,"Расстояние от оси горизонтального шпинделя до хобота, мм",85
6,"Расстояние от торца шпинделя до подшипника подвески (серьги), мм",235
7,"Наибольший диаметр фрезы, устанавливаемой на станке, мм",110
8,Рабочий стол,
9,"Наибольшее перемещение стола продольное, мм",250
10,"Наибольшее перемещение стола поперечное, мм",85
11,"Наибольшее перемещение стола вертикальное, мм",170
12,Число Т-образных пазов,1
13,"Перемещение стола на одно деление лимба продольное (на один оборот), мм","0,05 (4)"
14,"Перемещение стола на одно деление лимба поперечное (на один оборот), мм","0,05 (4)"
15,"Перемещение стола на одно деление лимба вертикальное (на один оборот), мм","0,025 (2)"
16,"Быстрый ход стола продольный/ поперечный/ вертикальный, мм/мин",нет
17,Число ступеней рабочих подач стола,нет
18,"Пределы рабочих механических подач стола. Продольных, поперечных, вертикальных, мм/мин",нет
19,"Угол поворота стола (в крайнем переднем положении), град",нет
20,Шпиндель,
21,"Частота вращения горизонтального шпинделя, об/мин","100, 160, 250 ,490, 630, 1000"
22,Количество скоростей горизонтального шпинделя,6
23,Внутренний конус горизонтального шпинделя,Морзе 3
24,Привод и электрооборудование,
25,Количество электродвигателей на станке,1
26,"Электродвигатель привода главного движения, кВт (об/мин)","0,6(1410..1440)"
27,Габариты и масса станка,
28,"Габариты станка (длина х ширина х высота), мм",685 х 640 х 790
29,"Масса станка, кг",200
