index,Наименование параметра,7523
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Номинальное тяговое усилие, кН(тс)",100(10)
3,"Наибольшая длина хода рабочих салазок, мм",1250
4,"Наибольшая настроенная длина хода рабочих салазок, мм",1200
5,"Расстояние от станины до оси отверстия под планшайбу в опорной плите, мм",250
6,"Максимальный наружный диаметр обрабатываемой детали, мм",
7,"Размеры рабочей поверхности передней опорной плиты станка, мм",450 х 450
8,"Диаметр отверстия под планшайбу в опорной плите, мм",160Н7
9,"Диаметр отверстия в планшайбе, мм",125
10,"Диаметр планшайбы, мм",280
11,"Скорость рабочего хода, м/мин",15..115
12,"Скорость рабочего хода при номинальном тяговом усилии, м/мин",6
13,Регулирование скорости рабочего хода,бесступенчатое
14,"Рекомендуемая скорость обратного хода, м/мин",20..25
15,"Рекомендуемая скорость подвода и отвода протяжки, м/мин",
16,Электрооборудование. Привод,
17,Количество электродвигателей на станке,3
18,"Электродвигатель привода главного движения и вспомогательных салазок, кВт (об/мин)",11 (2800)
19,"Электродвигатель теплообменника, кВт (об/мин)","0,12 (2710)"
20,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,15 (2800)"
21,"Суммарная мощность электродвигателей установленных на станке, кВт",1127
22,Габариты и масса станка,
23,"Габариты станка (длина ширина высота), мм",6000 х 2000 х 1715
24,"Масса станка, кг",4100
