index,Наименование параметра,7303
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",15..320
3,"Наибольшее сечение резца (ширина х высота), мм",16 х 25
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",400
5,"Высота ползуна над рабочей поверхностью стола, мм",70..300
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",280 х 320
8,"Размеры рабочей поверхности стола - левой, правой, мм",280 х 320
9,"Наибольшее перемещение стола от руки - горизонтальное, мм",360
10,"Наибольшее перемещение стола от руки - вертикальное, мм",230
11,Число горизонтальных подач стола,16
12,"Быстрое, горизонтальное перемещение стола, м/мин",-
13,"Горизонтальные подачи стола, мм/дв.ход (число ступеней)","0,1..1,6 (16)"
14,"Цена деления лимба, мм",
15,Суппорт,
16,"Наибольшее вертикальное перемещение головки резца от руки, мм",
17,"Цена деления лимба, мм",005
18,"Наибольший угол поворота резцовой головки до входа в станину, град",±60
19,"Наибольший угол поворота доски резцедержателя, град",±15
20,"Наибольшая перестановка ползуна, мм",270
21,"Наибольшее допустимое усилие резания, Н",11000
22,Число ступеней скоростей главного привода (перемещения ползуна),4
23,Числа двойных ходов ползуна в минуту (число ступеней),"23, 47, 94, 186 (4)"
24,Число подач суппорта,-
25,"Подачи суппорта, мм/дв.ход",-
26,Электрооборудование. Привод,
27,Количество электродвигателей на станке,1
28,"Электродвигатель привода стола, кВт (об/мин)","1,9..3,0 (710..3,0)"
29,Габариты и масса станка,
30,"Габариты станка (длина ширина высота), мм",1650 х 870 х 1540
31,"Масса станка, кг",970
