index,Наименование параметра,1617
0,Основные параметры,
1,Класс точности,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",350
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",200
4,"Высота оси центров над плоскими направляющими станины (высота центров), мм",180
5,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",750
6,"Наибольшая длина обтачивания, мм",750
7,"Высота от опорной поверхности резца до линии центров, мм",20
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",180
9,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
10,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
11,Шпиндель,
12,"Диаметр сквозного отверстия в шпинделе, мм",38
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",36
14,"Частота прямого вращения шпинделя, об/мин",31..720
15,Число ступеней частот прямого вращения шпинделя,8
16,"Частота обратного вращения шпинделя, об/мин",50..720
17,Число ступеней частот обратного вращения шпинделя,4
18,"Размер внутреннего конуса в шпинделе, М",Морзе 5
19,Конец шпинделя,М68х6
20,Торможение шпинделя,есть
21,Блокировка рукояток,
22,Суппорт. Подачи,
23,"Наибольшее перемещение продольной каретки суппорта от руки, по валику, по винту, мм",750
24,"Наибольшее перемещение поперечной каретки суппорта от руки, по винту, мм",180
25,"Цена деления лимба продольного перемещения суппорта, мм",-
26,"Цена деления лимба поперечного перемещения суппорта, мм",005
27,Число ступеней продольных подач,
28,"Пределы продольных рабочих подач, мм/об",0140..4740
29,"Пределы поперечных рабочих подач, мм/об",0125..4200
30,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
31,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
32,Количество нарезаемых резьб метрических,
33,"Пределы шагов нарезаемых резьб метрических, мм",05..10
34,Количество нарезаемых резьб дюймовых,
35,Пределы шагов нарезаемых резьб дюймовых,2..24
36,Количество нарезаемых резьб модульных,нет
37,Пределы шагов нарезаемых резьб питчевых,нет
38,Выключающие упоры,нет
39,"Наибольшее усилие, допускаемое механизмом подач (Продольное / поперечное), кг",500 / 680
40,Резцовые салазки,
41,"Наибольшее перемещение резцовых салазок, мм",95
42,"Перемещение резцовых салазок на одно деление лимба, мм",005
43,"Перемещение резцовых салазок на один оборот лимба, мм",005
44,"Наибольший угол поворота резцовых салазок, град",+60°-45°
45,"Цена деления шкалы поворота резцовых салазок, град",1°
46,"Наибольшее сечение державки резца (ширина х высота), мм",25 х 35
47,Число резцов в резцовой головке,4
48,Задняя бабка,
49,"Диаметр пиноли задней бабки, мм",
50,Конус отверстия в пиноли задней бабки,Морзе 4
51,"Наибольшее перемещение пиноли, мм",100
52,"Перемещение пиноли на одно деление лимба, мм",нет
53,"Величина поперечного смещения корпуса бабки, мм",±10
54,Электрооборудование,
55,Количество электродвигателей на станке,
56,"Мощность электродвигателя главного привода, кВт",3
57,"Мощность электродвигателя насоса охлаждения, кВт",01
58,Габариты и масса станка,
59,"Габариты станка (длина ширина высота), мм",2100 х 920 х 1260
60,"Масса станка, кг",1250
