index,Наименование параметра,1А616
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",320
3,"Высота центров, мм",165
4,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",180
5,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",710
6,"Наибольшая длина обтачивания, мм",660
7,"Высота от опорной поверхности резца до линии центров, мм",25
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",170
9,"Высота оси центров над плоскими направляющими станины (высота центров), мм",165
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
11,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
12,Шпиндель,
13,"Диаметр сквозного отверстия в шпинделе, мм",35
14,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",34
15,"Частота прямого вращения шпинделя, об/мин",9..1800112..2240
16,Число ступеней частот прямого вращения шпинделя,21
17,"Частота обратного вращения шпинделя, об/мин",9...1800112..2240
18,Число ступеней частот обратного вращения шпинделя,21
19,"Размер внутреннего конуса в шпинделе, М",Морзе 5
20,Конец шпинделя по ГОСТ 12593-72,6К
21,Торможение шпинделя,есть
22,Блокировка рукояток,есть
23,"Точность, тип и размер подшипника в передней опоре",А 3182116 80х125-34
24,Суппорт. Подачи,
25,"Наибольшее перемещение продольной каретки суппорта от руки, по валику, по винту, мм",670/ 670/ 670
26,"Наибольшее перемещение поперечной каретки суппорта от руки, по винту, мм",195/ 195
27,"Цена деления лимба продольного перемещения суппорта, мм",1
28,"Цена деления лимба поперечного перемещения суппорта, мм",005
29,"Продольное перемещение на один оборот лимба, мм",110
30,"Поперечное перемещение на один оборот лимба, мм",5
31,Число ступеней продольных подач,
32,"Пределы продольных рабочих подач, мм/об",0065..091
33,"Пределы поперечных рабочих подач, мм/об",0065..091
34,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
35,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
36,Количество нарезаемых резьб метрических,
37,"Пределы шагов нарезаемых резьб метрических, мм",05..24
38,Количество нарезаемых резьб дюймовых,
39,Пределы шагов нарезаемых резьб дюймовых,56..1
40,Количество нарезаемых резьб модульных,
41,Пределы шагов нарезаемых резьб модульных,025..55
42,Количество нарезаемых резьб питчевых,
43,Пределы шагов нарезаемых резьб питчевых,128..2
44,Резцовые салазки,
45,"Наибольшее перемещение резцовых салазок, мм",120
46,"Перемещение резцовых салазок на одно деление лимба, мм",005
47,"Перемещение резцовых салазок на один оборот лимба, мм",
48,"Наибольший угол поворота резцовых салазок, град",±90°
49,"Цена деления шкалы поворота резцовых салазок, град",1°
50,"Наибольшее сечение державки резца (ширина х высота), мм",20 х 25
51,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
52,Число резцов в резцовой головке,4
53,Задняя бабка,
54,"Диаметр пиноли задней бабки, мм",
55,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 4
56,"Наибольшее перемещение пиноли, мм",120
57,"Перемещение пиноли на одно деление лимба, мм",1
58,"Величина поперечного смещения корпуса бабки, мм",±10
59,Электрооборудование,
60,Количество электродвигателей на станке,2
61,"Привод главного движения, кВт (об/мин)","4,0 (1450)"
62,Тип электродвигателя главного привода,АО2-41-4
63,"Привод ускоренных перемещений, кВт",-
64,"Привод маслонасоса в станции смазки С48-14М, кВт",-
65,"Привод насоса охлаждения, кВт",0125
66,Насос охлаждения (помпа),ПА-22
67,Габариты и масса станка,
68,"Габариты станка (длина ширина высота), мм",2135 х 1225 х 1220
69,"Масса станка, кг",1500
