index,Наименование параметра,7А534
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Номинальное тяговое усилие, кН(тс)",250
3,"Скорость рабочего хода, м/мин",15..13
4,"Наибольшая длина хода рабочих салазок, мм",1600
5,"Наибольшая настроенная длина хода рабочих салазок, мм",1550
6,"Расстояние от станины до оси отверстия под планшайбу в опорной плите, мм",280
7,"Максимальный наружный диаметр обрабатываемой детали, мм",670
8,"Длина протяжки, мм",925..1715
9,"Размеры рабочей поверхности передней опорной плиты станка, мм",450 х 630
10,"Диаметр отверстия под планшайбу в опорной плите, мм",200
11,"Диаметр планшайбы, мм",360
12,"Диаметр отверстия в планшайбе, мм",160
13,Регулирование скорости рабочего хода,бесступ
14,"Рекомендуемая скорость обратного хода, м/мин",2025
15,"Рекомендуемая скорость подвода протяжки, м/мин",112
16,"Рекомендуемая скорость отвода протяжки, м/мин",188
17,Электрооборудование. Привод,
18,Количество электродвигателей на станке,4
19,"Электродвигатель привода гидронасоса гидростанции, кВт",37
20,"Электродвигатель насоса охлаждения, кВт",025
21,"Электродвигатель теплообменника, кВт",012
22,"Электровентилятор, кВт",0018
23,"Суммарная мощность электродвигателей установленных на станке, кВт",
24,Габариты и масса станка,
25,"Габариты станка (длина ширина высота), мм",7275 х 2225 х 2300
26,"Масса станка, кг",5950
