index,Наименование параметра,НО-800
0,Основные параметры станка,
1,"Производительность станка, шт/ч",50
2,"Расстояние от оси шпинделя до направляющих стойки (вылет), мм",90
3,"Расстояние от оси шпинделя до боковых салазок, мм",80
4,Шпиндельная бабка,
5,"Максимальное перемещение шпиндельной бабки в горизонтальной и вертикальной плоскостях, мм",50
6,"Угол наклона шпиндельной бабки, град",±30°
7,"Конус в шпинделе специальный под цангу, град",28°
8,"Отверстие в шпинделе под цангу, мм",9
9,"Точность обработки при фрезеровании, мм",002
10,"Частота вращения шпинделя, об/мин",5300
11,Стол,
12,"Размеры продольных салазок, мм",
13,"Размеры поперечных салазок, мм",
14,"Диаметр рабочей поверхности стола, мм",100
15,"Максимальное продольное перемещение стола, мм",100
16,"Максимальный вертикальный ход стола, мм",80
17,"Цена деления лимба перемещения стола, мм",001
18,"Угол наклона стола в вертикальной плоскости, град",±30°
19,"Угол поворота стола, град",270°
20,Привод и электрооборудование,
21,"Напряжения питания, В",220/380
22,Количество электродвигателей на станке,1
23,"Электродвигатель привода главного движения, кВт (об/мин)","0,25 (3000)"
24,Габариты и масса станка,
25,"Габариты станка (длина х ширина х высота), мм",650 x 610 x 770
26,"Масса станка, кг",71
