index,Наименование параметра,С-193
0,Основные параметры станка,
1,Класс точности,
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",120
4,"Высота центров над плоскими направляющими станины, мм",100
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",500
6,"Наибольшая длина обработки при одной установке суппорта, мм",
7,"Наибольшая высота / ширина резца, мм",
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",20
10,"Диаметр отверстия в цанге, мм",14
11,Число ступеней частот вращения шпинделя,
12,"Частота вращения шпинделя, об/мин",150..3000
13,Суппорт,
14,"Продольное перемещение суппорта без переустановки, мм",
15,"Наибольшее поперечное перемещение суппорта, мм",
16,"Цена деления лимба при продольном перемещении суппорта, мм",001
17,"Цена деления лимба при поперечном перемещении суппорта, мм",001
18,"Перемещение суппорта продольное на один оборот лимба, мм",2
19,"Перемещение суппорта поперечное на один оборот лимба, мм",2
20,"Наибольшее перемещение верхних (резцовых) салазок, мм",
21,"Перемещение резцовых салазок на одно деление лимба, мм",
22,"Угол поворота верхней каретки суппорта, град",
23,Задняя бабка,
24,Конус Морзе задней бабки,
25,"Наибольшее перемещение пиноли, мм",70
26,Электрооборудование,
27,"Напряжение питания электродвигателя, В",
28,"Электродвигатель привода, кВт (об/мин)",1 (1420)
29,Габариты и масса станка,
30,"Габариты станка (длина ширина высота), мм",1250 х 590 х 1210
31,"Масса станка с принадлежностями, кг",
