index,Наименование параметра,1624М
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",500
3,"Наибольший диаметр заготовки над суппортом, мм",290
4,"Наибольшая длина заготовки (РМЦ), мм","1000, 1500, 2000"
5,"Наибольшая длина обточки заготовки, мм",
6,"Высота центров над станиной, мм",
7,Шпидель,
8,"Диаметр сквозного отверстия в шпинделе, мм",56
9,"Наибольший диаметр обрабатываемого прутка в патроне, мм",54
10,"Наибольший диаметр обрабатываемого прутка в цанге, мм",
11,Число ступеней частот прямого вращения шпинделя,15
12,Число ступеней частот прямого вращения шпинделя верхнего диапазона,12
13,Число ступеней частот прямого вращения шпинделя нижнего диапазона,3
14,"Частота прямого вращения шпинделя (верхний диапазон), об/мин",45..2000
15,"Частота прямого вращения шпинделя (нижний диапазон), об/мин",115..32
16,Число ступеней частот обратного вращения шпинделя нижнего диапазона,15
17,"Частота обратного вращения шпинделя (оба диапазона), об/мин",15..2720
18,"Размер внутреннего конуса в шпинделе, М",Мозе 6
19,Торможение шпинделя,есть
20,Суппорт,
21,"Наибольшее продольное перемещение суппорта, мм","1000, 1500, 2000"
22,"Наибольшее поперечное перемещение суппорта, мм",325
23,Число ступеней продольных подач,50
24,"Пределы рабочих подач продольных, мм/об",007..2
25,"Пределы рабочих подач поперечных, мм/об",0035..1
26,Количество нарезаемых резьб метрических,34
27,"Пределы шагов нарезаемых резьб метрических, мм",05..15
28,Количество нарезаемых резьб дюймовых,50
29,Пределы шагов нарезаемых резьб дюймовых,2..60
30,Количество нарезаемых резьб модульных,25
31,Пределы шагов нарезаемых резьб модульных,025..75
32,Количество нарезаемых резьб питчевых,31
33,Пределы шагов нарезаемых резьб питчевых,4..120
34,"Перемещение на одно деление лимба в продольном/ поперечном направлении, мм","1/ 0,025"
35,"Скорость быстрых перемещений суппорта, продольных, мм/мин",нет
36,"Скорость быстрых перемещений суппорта, поперечных, м/мин",
37,"Диаметр и шаг ходового винта, мм",
38,"Диаметр ходового вала, мм",
39,Выключающие упоры продольные,есть
40,Выключающие упоры поперечные,
41,Верхние салазки,
42,"Наибольшее перемещение салазок, мм",150
43,"Перемещение салазок на одно деление лимба, мм",005
44,"Перемещение салазок на один оборот лимба, мм",
45,"Угол поворота салазок, град",±90
46,"Наибольшее сечение державки резца, мм",30 х 40
47,"Расстояние от опорной поверхности резца до линии центров, мм",30
48,Задняя бабка,
49,"Наибольшее перемещение пиноли задней бабки, мм",150
50,"Конус пиноли задней бабки, мм",Морзе 5
51,"Диаметр пиноли задней бабки, мм",75
52,"Наибольшее поперечное смещение задней бабки, мм",±10
53,"Перемещение пиноли на одно деление линейки, мм",
54,Электрооборудование,
55,Количество электродвигателей на станке,2
56,"Электродвигатель главного привода, кВт",100
57,"Электродвигатель насоса охлаждения, кВт",012
58,Габариты и масса станка,
59,"Габариты станка (длина ширина высота), мм",2820 х 1202 х 1280
60,"Масса станка, кг",2500
