index,Наименование параметра,1П611
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",250
3,"Наибольший диаметр заготовки над суппортом, мм",145
4,"Наибольшая длина заготовки (РМЦ), мм",500
5,"Наибольшая длина обточки заготовки, мм",450
6,"Высота центров над станиной, мм",135
7,Шпидель,
8,"Диаметр сквозного отверстия в шпинделе, мм",265
9,"Наибольший диаметр обрабатываемого прутка в патроне, мм",25
10,"Наибольший диаметр обрабатываемого прутка в цанге, мм",16
11,Число ступеней частот прямого вращения шпинделя,14
12,"Частота прямого вращения шпинделя, об/мин",335..3000
13,"Размер внутреннего конуса в шпинделе, М",Морзе 4
14,Резьбовой конец шпинделя,М45
15,Суппорт,
16,"Наибольшее перемещение суппорта продольное/ поперечное, мм",580/ 150
17,Число ступеней продольных подач,24
18,"Пределы рабочих подач продольных, мм/об",005..07
19,"Пределы рабочих подач поперечных, мм/об",0025..035
20,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
21,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
22,Количество нарезаемых резьб метрических,
23,"Пределы шагов нарезаемых резьб метрических, мм",025..35
24,Количество нарезаемых резьб дюймовых,
25,Пределы шагов нарезаемых резьб дюймовых,80..7
26,Количество нарезаемых резьб модульных,
27,Пределы шагов нарезаемых резьб модульных,025..175
28,Количество нарезаемых резьб питчевых,нет
29,Пределы шагов нарезаемых резьб питчевых,нет
30,"Перемещение на одно деление лимба в продольном/ поперечном направлении, мм","1/ 0,02"
31,"Диаметр и шаг ходового винта, мм",30 х 6
32,"Диаметр ходового вала, мм",20
33,Верхние салазки,
34,"Наибольшее перемещение салазок, мм",150
35,"Перемещение салазок на одно деление лимба, мм",002
36,"Перемещение салазок на один оборот лимба, мм",20
37,"Угол поворота салазок, град",±45
38,"Наибольшее сечение державки резца, мм",16 х 16
39,"Расстояние от опорной поверхности резца до линии центров, мм",16
40,Задняя бабка,
41,"Наибольшее перемещение пиноли задней бабки, мм",70
42,"Конус пиноли задней бабки, мм",Морзе 3
43,"Диаметр пиноли задней бабки, мм",40
44,"Наибольшее поперечное смещение задней бабки, мм",±10
45,"Перемещение пиноли на одно деление линейки, мм",1
46,Электрооборудование,
47,Количество электродвигателей на станке,2
48,"Электродвигатель главного привода, кВт",15
49,"Электродвигатель насоса охлаждения, кВт",012
50,Габариты и масса станка,
51,"Габариты станка (длина ширина высота), мм",1510 х 700 х 1360
52,"Масса станка, кг",560
