index,Наименование параметра,1Н318
0,Основные параметры станка,
1,Класс точности станка Н по ГОСТ 8—71,Н
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",250
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",
4,"Расстояние от торца шпинделя до плоскости револьверной головки, мм",90..250
5,"Наибольший диаметр круглого обрабатываемого прутка на переднем зажиме (в цанге), мм",18
6,"Наибольшая сторона квадрата обрабатываемого прутка, мм",12
7,"Наибольший размер шестигранного прутка (диаметр вписанной окружности), мм",16
8,"Наибольшая длина подачи прутка за один ход, мм",45
9,"Наибольшая длина обработки прутка в цанге или в патроне, мм",100
10,"Наибольшая длина обрабатываемого прутка в зажимной и подающей трубе, мм",
11,"Рекомендуемая длина обрабатываемого прутка в зажимной и подающей трубе, мм",2200
12,"Диаметр отверстия в шпинделе, мм",31
13,"Высота центров, мм",125
14,"Наибольший диаметр резьб, нарезаемых плашками по стали средней твердости, мм",М12
15,"Наибольший диаметр резьб, нарезаемых метчиками по стали средней твердости, мм",М10
16,"Наибольшая длина нарезаемой резьбы по копиру, мм",40
17,Шпиндель,
18,Количество рабочих скоростей шпинделя (правое - прямое вращение),16
19,Количество рабочих скоростей шпинделя (левое - обратное вращение),4
20,"Пределы чисел оборотов шпинделя (правое - прямое вращение), об/мин",100..4000
21,"Пределы чисел оборотов шпинделя (левое - обратное вращение), об/мин",200..800
22,Конец шпинделя фланцевый по ГОСТ 12595-75,
23,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
24,Револьверный суппорт,
25,"Наибольшее перемещение револьверного суппорта: продольное (Z), мм/ Круговое, град",100
26,"Продольное перемещение револьверного суппорта за один оборот штурвала, мм",1256
27,Число упоров револьверного суппорта,6
28,Количество продольных подач револьверного суппорта,3
29,"Диапазон скоростей продольных подач револьверного суппорта, мм/об",005..03
30,Количество инструментов в револьверной головке,6
31,"Диаметр отверстий в револьверной головке, мм",
32,"Диаметр расположения отверстий для инструмента в револьверной головке, мм",170
33,"Перемещение продольное револьверной головки на одно деление лимба, мм",05
34,"Цена деления лимба грубой круговой подачи револьверной головки на диаметр изделия, мм",1
35,"Цена деления лимба тонкой круговой подачи револьверной головки на диаметр изделия, мм",005
36,"Поперечное перемещение головки на радиусе расположения гнезд под инструмент за один оборот лимба при тонкой круговой подаче, мм",148
37,"Наибольшее усилие подачи, допустимое механизмом продольной подачи, Н",
38,"Наибольшее усилие подачи, допустимое механизмом круговой подачи, Н",
39,Поперечный суппорт,
40,"Наибольшее поперечное перемещение поперечного суппорта, мм",80
41,"Наибольшее продольное перемещение поперечного суппорта, мм",Установочн.
42,Количество подач поперечного суппорта,3
43,Подачи поперечного суппорта,005..03
44,Электрооборудование станка,
45,"Количество электродвигателей на станке, кВт",3
46,"Электродвигатель главного привода, кВт (об/мин)","2,6/ 3,0 (1420/ 2800)"
47,"Электродвигатель гидропривода (зажим и подача прутка), кВт (об/мин)","0,6 (1350)"
48,"Электродвигатель смазочной станции, кВт (об/мин)",нет
49,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
50,Габариты и масса станка,
51,"Габаритные размеры станка (длина, ширина, высота), мм",2990 х 835 х 1555
52,"Масса станка, кг",1080
