index,Наименование параметра,ТС-1
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",155
3,"Наибольший диаметр заготовки над суппортом, мм",80
4,"Высота центров, мм",82
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",260
6,"Наибольшая высота держателя резца (ш х в), мм",10 х 10
7,"Высота от опорной поверхности резца до линии центров, мм",
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
9,Шпиндель,
10,"Резьбовой конец шпинделя, мм",М39 х 4
11,"Диаметр стандартного патрона, мм",100
12,"Диаметр сквозного отверстия в шпинделе, мм",18
13,"Диаметр и длина переднего подшипника скольжения в шпинделе, мм",38 х 50
14,"Центрирующий диаметр переднего конца шпинделя, мм",40f4
15,"Наибольший диаметр прутка, мм",17
16,Конус отверстия шпинделя,1:20
17,Число ступеней частот прямого вращения шпинделя,6
18,"Частота вращения шпинделя, об/мин",160..1600
19,Торможение шпинделя,нет
20,Блокировка рукояток,нет
21,Суппорт. Подачи,
22,"Наибольшее продольное перемещение суппорта, мм",260
23,"Перемещение суппорта продольное на одно деление лимба, мм",
24,Ходовой винт (диаметр х шаг),16 х 3
25,"Наибольшее поперечное перемещение суппорта, мм",100
26,"Перемещение суппорта поперечное на одно деление лимба, мм",
27,Число ступеней продольных подач суппорта,
28,"Пределы продольных рабочих подач суппорта, мм/об",001...015
29,"Пределы рабочих поперечных подач суппорта, мм/об",нет
30,Количество нарезаемых резьб метрических,20
31,"Пределы шагов нарезаемых резьб метрических, мм",02..3
32,Пределы шагов нарезаемых резьб дюймовых,нет
33,Резьбоуказатель,нет
34,Предохранение от перегрузок,есть
35,Блокировка,есть
36,Ускоренное перемещение суппорта,нет
37,Выключающие упоры,нет
38,Резцовые салазки (верхний суппорт),
39,"Наибольшее перемещение резцовых салазок, мм",100
40,"Шаг резьбы ходового винта резцовых салазок, мм",15
41,"Диаметр резьбы ходового винта резцовых салазок, мм",М10 левая
42,"Перемещение резцовых салазок на одно деление лимба, мм",005
43,"Перемещение резцовых салазок на один оборот лимба, мм",15
44,"Угол поворота резцовых салазок, град",
45,Задняя бабка,
46,Диаметр пиноли задней бабки,20
47,Конус отверстия пиноли задней бабки,Морзе №1
48,"Наибольшее перемещение пиноли, мм",70
49,"Цена деления линейки перемещение пиноли, мм",
50,"Цена деления лимба перемещение пиноли, мм",005
51,"Поперечное перемещение задней бабки, мм",
52,Электрооборудование,
53,"Напряжение питающей сети, В",~380 В/ ~220 В
54,"Электродвигатель главного привода, кВт",025
55,Габариты и масса станка,
56,"Габариты станка (длина ширина высота), мм",1160 х 540 х 1200
57,"Масса станка, кг",135
