index,Наименование параметра,1Е61М
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",320
3,"Высота центров, мм",170
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",188
5,"Наибольшая длина устанавливаемой детали РМЦ, мм",710
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",185
7,"Расстояние от оси шпинделя до направляющих станины (высота центров), мм",170
8,Шпиндель,
9,"Диаметр отверстия в шпинделе, мм",325
10,"Диаметр прутка проходящего через отверстие в шпинделе, мм",32
11,"Частота вращения шпинделя, об/мин",35..1600
12,Количество прямых и обратных скоростей шпинделя,12
13,Центр в шпинделе по ГОСТ 13214-67,Морзе 5
14,Конец шпинделя по ГОСТ 12595-72,М86 х 6
15,Торможение шпинделя,есть
16,Блокировка шпинделя,есть
17,Защита от перегрузок шпинделя,есть
18,Суппорт. Подачи,
19,"Наибольшая длина хода суппорта (каретки) - продольное перемещение от руки, мм",640
20,"Наибольшая длина хода суппорта (каретки) - продольное перемещение по валику, мм",640
21,"Наибольшая длина хода суппорта (каретки) - продольное перемещение по винту, мм",640
22,"Наибольшее поперечное перемещение суппорта от руки, мм",200
23,"Наибольшее поперечное перемещение суппорта по валику, мм",200
24,"Продольное перемещение суппорта на одно деление лимба, мм",02
25,"Продольное перемещение суппорта на один оборот лимба, мм",28
26,"Поперечное перемещение суппорта на одно деление лимба, мм",002
27,"Поперечное перемещение суппорта на один оборот лимба, мм",3
28,"Наибольшее перемещение верхнего суппорта (резцовых салазок), мм",140
29,"Перемещение верхнего суппорта на одно деление лимба, мм",002
30,"Перемещение верхнего суппорта на один оборот лимба, мм",3
31,Количество подач продольных/ поперечных суппорта,21
32,"Пределы подач продольных, мм",004..199
33,"Пределы подач поперечных, мм",0025..124
34,"Количество нарезаемых резьб метрических, мм",22
35,"Количество нарезаемых резьб модульных, мм",19
36,"Количество нарезаемых резьб дюймовых, мм",15
37,"Пределы шагов метрических резьб нормальной точности, мм",02..30
38,"Пределы шагов метрических резьб повышенной точности, мм",035..12
39,"Пределы шагов модульных резьб нормальной точности, модуль",1..75
40,"Пределы шагов модульных резьб повышенной точности, ниток/дюйм",03..6
41,"Пределы шагов дюймовых резьб нормальной точности, ниток/дюйм",40..30
42,"Пределы шагов дюймовых резьб повышенной точности, ниток/дюйм",3..20
43,"Пределы шагов питчевых резьб нормальной точности, питчей",8..60
44,"Пределы шагов питчевых резьб повышенной точности, ниток/дюйм",-
45,"Скорость быстрых перемещений продольных/ поперечных, м/мин",нет
46,"Высота резца, устанавливаемого в резцедержателе, мм",20 х 20
47,Выключающие упоры,есть
48,Задняя бабка,
49,"Наибольшее перемещение пиноли, мм",100
50,"Цена деления лимба задней бабки, мм",1
51,Центр в пиноли по ГОСТ 12595-72,Морзе 3
52,"Поперечное смещение задней бабки, мм",±5
53,"Диаметр сверла при сверлении стали, мм",
54,"Диаметр сверла при сверлении чугуна, мм",
55,Электрооборудование станка,
56,Количество электродвигателей на станке,3
57,"Мощность электродвигателя главного привода, кВт (об/мин)",45
58,"Мощность электродвигателя насоса охлаждения, кВт (об/мин)",0125
59,"Мощность электродвигателя насоса смазки, кВт (об/мин)",0125
60,"Мощность электродвигателя вентилятора, кВт",нет
61,Габариты и масса станка,
62,"Габариты станка (длина ширина высота), мм",2190 х 930 х 1500
63,"Масса станка, кг",1650
