index,Наименование параметра,АС2116М
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",16
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,100..400
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",232
4,Рабочий стол,
5,"Ширина рабочей поверхности стола, мм",250 х 270
6,Число Т-образных пазов,3
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной (сверлильной) головки по колонне, мм",300
9,"Ход гильзы шпинделя, мм",100
10,"Частота вращения шпинделя, об/мин","170, 280, 450, 750, 750, 1250, 2000"
11,Количество скоростей шпинделя,6
12,Конус шпинделя,Морзе В18
13,Привод,
14,"Напряжение питающей сети, В",380
15,"Электродвигатель привода главного движения, кВт (об/мин)","0,55 (1500)"
16,Габарит и масса станка,
17,"Габариты станка (длина ширина высота), мм",515 х 785 х 975
18,"Масса станка, кг",125
