index,Наименование параметра,532
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса по стали, мм",6
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°), мм",750
3,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",500
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (60°), мм",190
6,"Наибольший диаметр червячных нарезаемых колес, мм",
7,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",250
8,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (60°), мм",
11,Наименьшее число нарезаемых зубьев,
12,"Расстояние между осями стола и фрезы, мм",30..480
13,"Расстояние от плоскости стола до оси фрезы, мм",165..415
14,"Расстояние от оси шпинделя до направляющих суппорта, мм",218
15,Стол,
16,"Диаметр стола, мм",580
17,"Наибольшее перемещение стола, мм",425
18,"Конус в шпинделе стола, мм",Морзе 5
19,"Ускоренное перемещение стола, мм/мин",-
20,"Ручное перемещение стола за одно деление лимба, мм",01
21,"Ручное перемещение стола за один оборот лимба, мм",5
22,Суппортная стойка,
23,"Наибольшее перемещение суппортной стойки, мм",
24,"Быстрое перемещение суппортной стойки, мм/мин",-
25,"Перемещение стойки на одно деление лимба, мм",-
26,"Перемещение стойки на один оборот лимба, мм",-
27,Блокировка от перегрузки,
28,Суппорт,
29,"Наибольшее перемещение суппорта, мм",250
30,"Ускоренное перемещение каретки суппорта, мм/мин",
31,"Наибольший диаметр режущего инструмента - фрезы, мм",120
32,"Наименьшая длина режущего инструмента (фрезы), мм",130
33,"Диаметры фрезерных оправок, мм","22, 27, 32"
34,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",
35,"Наибольший угол поворота суппорта, град",360°
36,"Наибольший угол наклона зубьев нарезаемого колеса, град",
37,"Поворот суппорта на одно деление шкалы линейки, град",
38,"Поворот суппорта на одно деление шкалы нониуса, мин",
39,Конусное отверстие шпинделя,Морзе 4
40,"Наибольшее осевое перемещение фрезы, мм",
41,Механика станка,
42,"Пределы оборотов фрезы, об/мин","47, 58, 72, 87, 100, 122, 150, 188"
43,Число ступеней оборотов фрезы,8
44,"Пределы вертикальных (продольных) подач фрезы, мм/об","0,25..4 (12 шагов)"
45,"Пределы радиальных подач подвижной стойки, мм/об",
46,"Пределы радиальных подач подвижного стола, мм/об","0,105..1,68 (12 шагов)"
47,"Пределы тангенциальных (осевых) подач фрезы, мм/об",
48,Число ступеней подач,
49,Привод и электрооборудование станка,
50,"Электродвигатель главного привода, кВт (об/мин)","3,2 (1440)"
51,"Электродвигатель ускоренного хода суппорта, кВт (об/мин)","1,0 (1425)"
52,"Электродвигатель привода осевого движения фрезы, кВт (об/мин)",
53,"Электродвигатель привода гидронасоса, кВт (об/мин)",
54,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,25 (2800)"
55,Габаритные размеры и масса станка,
56,"Габаритные размеры станка (длина х ширина х высота), мм",1885 х 1158 х 1950
57,"Масса станка с электрооборудованием и охлаждением, кг",2500
