index,Наименование параметра,3Б642
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий в центрах (длина х диаметр), мм",630 х 250
3,"Расстояние между центрами универсальной и задней бабок, мм",550
4,"Расстояние между осью шлифовального круга и линией центров в горизонтальной плоскости, мм",70..300
5,"Расстояние между осью шлифовального круга и линией центров в вертикальной плоскости, мм",65..185
6,Рабочий стол станка,
7,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",900 х 140
8,"Наибольшее продольное/ поперечное ручное перемещение стола, мм",450/ 230
9,"Перемещение продольное/ поперечное стола на одно деление лимба, мм","0,1/ 0,01"
10,"Перемещение поперечное стола на одно деление тонкой подачи, мм",00025
11,"Угол поворота стола в горизонтальной плоскости, град",90
12,"Скорость перемещения стола от гидропривода, м/мин",02..8
13,Бабка шлифовальная,
14,"Наибольшее вертикальное перемещение бабки, мм",250
15,"Цена деления лимба подачи вертикального перемещения стола, мм",0005
16,"Угол поворота бабки в горизонтальной плоскости, град",350
17,Шлифовальная головка,
18,"Число оборотов заточного круга при ступенчатом регулировании, об/мин",1300..6500 б/с
19,Конец шлифовального шпинделя по ГОСТ 2324-77 исполнение 2,Морзе 3
20,"Наибольший диаметр устанавливаемого шлифовального круга, мм",200
21,"Наибольший диаметр устанавливаемого шлифовального круга других типов, мм",150
22,Универсальная головка,
23,Размер внутренних конусов шпинделей,Морзе 5
24,"Угол поворота в горизонтальной и вертикальной областях, град",360
25,Электрооборудование и привод станка,
26,Количество электродвигателей на станке,5
27,"Электродвигатель привода шпинделя шлифовальных кругов, кВт",25
28,"Электродвигатель привода изделия, кВт",025
29,"Электродвигатель гидропривода, кВт",
30,"Электродвигатель насоса охлаждения, кВт",0125
31,"Электродвигатель пылесоса, кВт",0125
32,"Общая установленная мощность всех электродвигателей, кВт",
33,род тока питающей сети,"50Гц, 380/220 В"
34,Габариты и масса станка,
35,"Габарит станка, мм",2050 х 1820 х 1550
36,"Масса станка, кг",1280
