index,Наименование параметра,2Г125
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",25
2,"Наибольший диаметр нарезания резьбы в стали 45, мм",24
3,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",75..700
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",260
5,Рабочий стол,
6,"Размеры рабочей поверхности стола, мм",400 х 450
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее вертикальное перемещение стола (ось Z), мм",425
9,Шпиндель,
10,"Наибольшее перемещение (ход) шпинделя, мм",200
11,"Перемещение шпинделя на одно деление лимба, мм",
12,"Частота вращения шпинделя, об/мин",63..2000
13,Количество скоростей шпинделя,16 х Б/с
14,"Наибольший допустимый крутящий момент, Нм",
15,Конус шпинделя,Морзе 3
16,Механика станка,
17,Число ступеней рабочих подач шпинделя,Б/с
18,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",01...16
19,"Наибольшая допустимая сила подачи, кН",9
20,Динамическое торможение шпинделя,
21,Привод,
22,"Электродвигатель привода главного движения, кВт (об/мин)",22
23,Электронасос охлаждающей жидкости Тип,
24,Габарит станка,
25,"Габариты станка, мм",730 х 910 х 2105
26,"Масса станка, кг",750
