index,Наименование параметра,С-155
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",3
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,30..120
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",100
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",125 х 170
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",
9,"Ход гильзы шпинделя, мм",40
10,"Частота вращения шпинделя, об/мин (Количество скоростей шпинделя)",1900..12000 (9)
11,Конус шпинделя,
12,Привод,
13,"Электродвигатель привода, кВт (об/мин)","0,18 (2860)"
14,Габарит и масса станка,
15,"Габариты станка (длина ширина высота), мм",475 х 200 х 530
16,"Масса станка, кг",35
