index,Наименование параметра,8Г663
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Диаметр пилы, устанавливаемой на станке по ГОСТ 4047-82, мм",800
3,"Толщина пилы по режущим зубъям, мм",
4,"Диаметр устанавливаемой заготовки, мм",80..285
5,"Наибольший размер поперечного сечения квадрата по ГОСТ 2591-71, мм",250
6,"Наибольший размер поперечного сечения швеллера по ГОСТ 8240-72, мм",33
7,"Наибольший размер поперечного сечения двутавра по ГОСТ 8239-72, мм",33
8,"Наибольший размер поперечного сечения уголка по ГОСТ 8509-72, мм",№16
9,"Длина отрезаемой заготовки по упору при Ø80..200 в автоматическом цикле, мм",20..500
10,"Длина отрезаемой заготовки при Ø200..280 в простом цикле, мм",20..1500
11,"Наибольшая длина заготовки, мм",
12,"Угол отрезки, град",90°
13,"Диаметр шпинделя под круглую пилу, мм",80h6
14,"Диаметр отверстий под поводковые пальцы, мм",20H7
15,"Смещение осей отверстий под поводковые пальцы от номинального расположения, мм, не более",035
16,"Расстояние от основания станка до опорной поверхности заготовки, мм",800
17,"Наибольшее перемещение бабки пильного диска, мм",320
18,Регулирование подачи бабки пильного диска,бесступ
19,"Наибольшая скорость подачи бабки пильного диска, мм/мин",08..650
20,"Наибольшая скорость отвода бабки пильного диска, м/мин",35
21,"Частота вращения шпинделя (50 Гц), об/мин (Количество скоростей шпинделя)","2,99..16,85 (6)"
22,"Скорость подачи заготовки, м/мин",5
23,"Наибольший крутящий момент, Н/м",
24,Электрооборудование. Привод,
25,Количество электродвигателей на станке автомате,5
26,"Электродвигатель привода главного движения, кВт (об/мин)",75
27,"Электродвигатель привода гидронасоса гидростанции, кВт (об/мин)",30
28,"Электродвигатель привода механизма стружкоудаления, кВт (об/мин)",037
29,"Электродвигатель насоса охлаждения, кВт (об/мин)",012
30,"Электродвигатель привода вентилятора охлаждения гидростанции, кВт (об/мин)",012
31,"Суммарная мощность электродвигателей установленных на станке, кВт",1111
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",2640 х 2400 х 1585
34,"Масса станка, кг",3760
