index,Наименование параметра,16Б16Т1
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",320
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",125
4,"Наибольшая длина обрабатываемого изделия, мм",750
5,"Высота резца, мм",25
6,Количество инструментов в резцедержателе,4
7,Шпиндель,
8,Количество рабочих скоростей шпинделя,18
9,Число ступеней автоматически переключаемых частот вращения шпинделя,
10,"Диаметр отверстия в шпинделе, мм",37
11,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",36
12,"Диапазон скоростей шпинделя, переключаемых по программе, об/ми","40..500, 160..2000"
13,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",40..2000
14,Центр шпинделя передней бабки по ГОСТ 13214-67,Морзе 5
15,Конец шпинделя по ГОСТ 12593-72,6К
16,"Наибольший крутящий момент на шпинделе, Нм",350
17,"Предельный диаметр сверления по стали/ чугуну, мм",
18,Подачи,
19,"Наибольшее перемещение суппорта продольное, мм",700
20,"Дискретность перемещения суппорта продольная / поперечная на один шаг, мм","0,01/ 0,005"
21,"Наибольшее перемещение суппорта поперечное, мм",210
22,"Диапазон скоростей продольных подач, мм/мин",2..1200
23,"Диапазон скоростей поперечных подач, мм/мин",1..1200
24,"Скорость быстрых продольных/ поперечных ходов, м/мин",6/ 5
25,"Пределы шагов нарезаемых цилиндрических резьб, мм",005..4095
26,"Точность позиционирования по оси X, мм",002
27,"Точность позиционирования по оси Z, мм",0035
28,"Среднеквадратичное отклонение от заданного перемещения по оси X, мм",00025
29,"Среднеквадратичное отклонение от заданного перемещения по оси Z, мм",0006
30,"Точность обработки в партии деталей из 5 шт. (допуск на размах) по диаметру (Ø = 84 мм), мм",0025
31,"Точность обработки в партии деталей из 5 шт. (допуск на размах) по длине (L = 30 мм), мм",0032
32,"Наибольшее усилие резания, Н",6000
33,Задняя бабка,
34,"Ход пиноль задней бабки, мм",120
35,Центр пиноли задней бабки по ГОСТ 13214-67,Морзе 3
36,Параметры системы ЧПУ,
37,Обозначение системы ЧПУ,Электроника НЦ-31NC-201(M)
38,Система отсчета,В абсолютн.зн.В приращениях
39,Число координат/ одновременно управляемых координат,2/ 2
40,"Разрешающая способность в продольном направлении (дискретность задания по оси Z), мм",001
41,"Разрешающая способность в поперечном направлении (дискретность задания по оси X), мм",0005
42,Тип датчика обратной связи,
43,Тип резьбонарезного датчика,
44,Электрооборудование. Привод,
45,Количество электродвигателей на станке,7
46,"Электродвигатель привода главного движения, кВт (об/мин)","4,2/ 7,1 (720/ 1440)"
47,"Электродвигатель привода продольных подач, Н*м",100
48,"Электродвигатель привода поперечных подач, Н*м",70
49,"Электродвигатель револьверной головки, кВт",018
50,"Электродвигатель привода пиноли, кВт",018
51,"Электродвигатель гидростанции, кВт",
52,"Электродвигатель станции смазки, кВт",009
53,"Электродвигатель насоса охлаждения, кВт",018
54,"Суммарная мощность электродвигателей, кВт",
55,"Суммарная потребляемая мощность станка, кВт",130
56,Габариты и масса станка,3100 х 1390 х 1870
57,"Масса станка с ЧПУ, кг",2860
