index,Наименование параметра,2Н150
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",50
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0...800
3,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",700...1250
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",350
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,"Размеры рабочей поверхности стола, мм",500 х 560
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,"Наибольшее вертикальное перемещение стола (ось Z), мм",360
10,"Перемещение стола на один оборот рукоятки, мм",
11,Шпиндель,
12,"Наибольшее перемещение (установочное) шпиндельной головки, мм",250
13,"Наибольшее перемещение (ход) шпинделя, мм",300
14,"Перемещение шпинделя на одно деление лимба, мм",10
15,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",13168
16,"Частота вращения шпинделя, об/мин",224...1000
17,Количество скоростей шпинделя,12
18,"Наибольший допустимый крутящий момент, Нм",800
19,Конус шпинделя,Морзе 5
20,Механика станка,
21,Число ступеней рабочих подач,12
22,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",005...224
23,Управление циклами работы,Ручное
24,"Наибольшая допустимая сила подачи, кН",235
25,Динамическое торможение шпинделя,Есть
26,Привод,
27,"Электродвигатель привода главного движения, кВт",75
28,Электронасос охлаждающей жидкости Тип,Х14-22М
29,Габарит станка,
30,"Габариты станка, мм",2930 х 890 х 1355
31,"Масса станка, кг",1870
