index,Наименование параметра,5А342(1978 Г)
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,Н
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес без поддерживающей задней стойки (0°), мм",300..2000
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес с поддерживающей задней стойкой (0°) (с контрподдержкой), мм",300..1200
4,"Наибольший модуль нарезаемого колеса червячной фрезой ( дисковой фрезой (сталь/чугун), мм",20 (20/ 25)
5,"Наибольшая длина зуба (длина фрезерования) нарезаемых прямозубых и косозубых колес с вертикальным / радиальным врезанием, мм",560 / 760
6,"Наибольший угол поворота суппорта (наклона зубьев, обрабатываемых колес), град",±45°
7,Наименьшее число зубьев нарезаемого колеса приоборотах не превышающих 1 об/мин,20
8,"Расстояние между осями стола и фрезы, мм",200..1270
9,"Расстояние от плоскости стола и оси фрезы, мм",580..1390
10,Стойка суппорта. Салазки. Суппорт главный фрезерный,
11,Конус шпинделя фрезы,Морзе 6
12,"Наибальший диаметр х длина фрезы, мм",Ø 300 х 300
13,"Ускоренное перемещение салазок в вертикальном направлении, мм/мин",510
14,"Доводочное перемещение салазок в вертикальном направлении, мм/мин",875
15,"Ускоренное горизонтальное перемещение суппортной стойки по станине, мм/мин",330
16,"Доводочное перемещение салазок в вертикальном направлении, мм/мин",53
17,"Доводочное перемещение салазок в вертикальном направлении, мм/мин",875
18,"Время поворота фрезерного суппорта на 180° при nфр, мин",56
19,Приспособление для установки суппорта под углом,есть
20,Автоматическое включение обратного хода суппорта,есть
21,Предохранение от перегрузок,есть
22,Возможность изменения скорости в процессе работы,нет
23,Возможность изменения подачи в процессе работы,нет
24,Механика станка,
25,"Пределы оборотов фрезы, об/мин",8..100
26,Число ступеней оборотов фрезы (количество скоростей),23
27,"Пределы вертикальных подач подач при работе червячной фрезой, мм/об стола",03..15
28,"Пределы вертикальных подач подач при работе дисковой фрезой, мм/об фрезы",03..8
29,Число вертикальных ступеней подач,18
30,"Пределы горизонтальных подач, мм/об стола",015..75
31,"Пределы тангенциальных подач, мм/об",004..4
32,Стол,
33,"Диаметр стола, мм",1800
34,"Диаметр отверстия в столе, мм",250
35,"Диаметр делительного червячного колеса, мм",1650
36,"Число зубьев делительного колеса, мм",165
37,"Наибольшая допустимая нагрузка на стол, кг",16000
38,"Ускоренное вращение стола, об/мин",
39,Привод и электрооборудование станка,
40,"Количество электродвигателей, установленных на станке",
41,"Электродвигатель главного привода, кВт (об/мин)",13 (1500)
42,"Электродвигатель быстрых перемещений стойки и суппорта, быстрого вращения стола и единичного деления, кВт","4,7 (1000)"
43,"Электродвигатель доводки стойки и суппорта, кВт","1,3 (1000)"
44,"Электродвигатель привода гидронасоса охлаждения фрезы, кВт","2,2 (1500)"
45,"Электродвигатель насоса смазки коробки настроек, кВт","0,27 (1500)"
46,"Электродвигатель насоса смазки стола, кВт","0,27 (1500)"
47,"Электродвигатель насоса смазки стойки и зарядки гидроаккамулятора, кВт","1,1 (1000)"
48,"Электродвигатель транспортера стружки, кВт","0,18 (1500)"
49,Габаритные размеры и масса станка,
50,"Габаритные размеры станка (длина х ширина х высота), мм",6910 х 2990 х 3462
51,"Масса станка с электрооборудованием и охлаждением, кг",31800
