index,Наименование параметра,1336М
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемого изделия над станиной, мм",420
2,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",380
3,"Наибольший диаметр обрабатываемого прутка на переднем зажиме, мм",36
4,"Наибольшая сторона квадрата обрабатываемого прутка, мм",27
5,"Наибольший размер ""под ключ"" обрабатываемого шестигранника, мм",32
6,"Наибольшая длина прутка, мм",
7,"Наибольший диаметр обрабатываемого прутка в зажимной и подающей трубе, мм",
8,"Диаметр отверстия в шпинделе, мм",39
9,"Высота центров, мм",185
10,"Наибольшая длина подачи прутков, мм",600
11,"Расстояние от торца шпинделя до револьверной головки, мм",60..660
12,"Наибольшая длина нарезаемой резьбы, мм",
13,Количество инструментов в револьверной головке,16
14,Шпиндель,
15,Количество рабочих скоростей прямого/ обратного вращения шпинделя,12
16,"Пределы чисел оборотов прямого вращения шпинделя, об/мин",44..1150
17,"Пределы чисел оборотов обратного вращения шпинделя, об/мин",
18,"Частота вращения шпинделя в I диапазоне, об/мин",44..440
19,"Частота вращения шпинделя во II диапазоне, об/мин",115..1150
20,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
21,Подачи,
22,Количество подач револьверного суппорта: продольных/ поперечных,6
23,"Наибольшее перемещение револьверного суппорта: продольное (Z), мм/ Круговое, град",600
24,Число упоров,8
25,Число инструментальных гнезд в головке,16
26,"Диапазон скоростей продольных подач револьверного суппорта, мм/об",006..05
27,"Диапазон скоростей поперечных подач револьверного суппорта, мм/об",004..039
28,"Скорость продольных ускоренных перемещений револьверного суппорта, м/мин",-
29,"Наибольшее усилие подач продольных/ поперечных, Н",
30,Автоматический поворот головки при обратном перемещении суппорта,нет
31,Автоматическая перестановка упоров при повороте головки,есть
32,Автоматический отвод фиксатора при обратном перемещении суппорта,есть
33,Электрооборудование станка,
34,"Количество электродвигателей на станке, кВт",2
35,"Электродвигатель главного привода, кВт",28
36,"Электродвигатель ускоренных продольных перемещений, кВт",-
37,"Электродвигатель гидропривода (зажим и подача прутка), кВт",-
38,"Электродвигатель насоса охлаждения, кВт",012
39,Габариты и масса станка,
40,"Габаритные размеры станка (длина, ширина, высота), мм",2280 х 1000 х 1280
41,"Масса станка, кг",1500
