index,Наименование параметра,3А10П
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр устанавливаемого изделия, мм",100
3,"Наибольшая длина устанавливаемого изделия (РМЦ), мм",160
4,"Наибольшая длина шлифования, мм",150
5,"Наибольший диаметр шлифования, мм",
6,"Наименьший диаметр шлифования, мм",
7,"Рекомендуемый диаметр шлифования, мм",2..15
8,"Наибольший диаметр шлифуемого отверстия, мм",
9,"Рекомендуемый диаметр шлифования отверстия, мм",3..15
10,"Наибольшая длина шлифования отверстия, мм",30
11,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",75
12,"Наибольший вес устанавливаемого изделия, кг",
13,"Высота центров над подошвой станка, мм",
14,Станина и стол станка,
15,"Наибольшее продольное перемещение стола от руки, мм",220
16,"Наибольшее продольное перемещение стола механически, мм",180
17,"Максимальное число двойных ходов стола в минуту, мм",
18,"Наименьший ход стола между упорами, мм",
19,"Ручное замедленное перемещения стола за один оборот маховика, мм",18
20,"Ручное ускоренное перемещения стола за один оборот маховика, мм",135
21,"Скорость автоматического перемещения стола (от гидросистемы), м/мин",0042..2
22,"Наибольший угол поворота верхнего стола по часовой стрелке, град",7
23,"Наибольший угол поворота верхнего стола против часовой стрелки, град",5
24,"Цена деления шкалы поворота верхнего стола, мин",30
25,"Цена деления шкалы поворота верхнего стола (конусность), мм/м",
26,Шлифовальная бабка,
27,"Наибольшее перемещение шлифовальной бабки по винту подачи, мм",60
28,"Перемещение шлифовальной бабки во время быстрого подвода, мм",
29,"Угол поворота шлифовальной бабки по часовой стрелке, град",90
30,"Угол поворота шлифовальной бабки против часовой стрелки, град",90
31,"Время быстрого подвода шлифовальной бабки, с",
32,Шлифовальный круг по ГОСТ 2424-67,160..200 х 20
33,Износ шлифовального круга в мм на диаметр,
34,"Частота вращения шпинделя наружного шлифования, об/мин",3450
35,"Толчковая подача - периодическая подача с реверсированием стола, мм",
36,"Ручная толчковая подача - периодическая подача в момент реверса стола, мм",0001
37,"Автоматическая толчковая подача - периодическая в момент реверса стола, мм",
38,"Наибольший ход автоматической подачи, мм",
39,"Цена деления лимба поперечной подачи шлифовальной бабки, мм",0004
40,"Цена деления лимба тонкой поперечной подачи, мм",
41,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",
42,"Наибольшее перемещение шлифовальной бабки по цепи микроподачи, мм/рад",
43,"Пределы скоростей врезной микроподачи, мм/мин",
44,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
45,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",
46,Приспособление для внутреннего шлифования,
47,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",
48,"Наибольшая длина шлифуемого отверстия, мм",30
49,"Диаметр внутришлифовальной головки, мм",3..12
50,Число оборотов внутришлифовального шпинделя,"36000, 96000"
51,Передняя бабка (бабка изделия),
52,"Частота вращения изделия (бесступенчатое регулирование), об/мин",100..800
53,"Угол поворота патронной бабки по часовой стрелке (от круга), град",30
54,"Угол поворота патронной бабки по часовой стрелке (к шлифовальному кругу), град",90
55,Конус шпинделя передней бабки по СТ СЭВ 147-75,Морзе 1
56,Задняя бабка,
57,"Величина отвода пиноли задней бабки от руки, мм",10
58,Конус шпинделя пиноли задней бабки по СТ СЭВ 147-75,Морзе 1
59,Привод и электрооборудование станка,
60,Количество электродвигателей на станке,
61,"Электродвигатель шпинделя шлифовальной бабки, кВт",06
62,"Электродвигатель привода изделия, кВт",012
63,"Электродвигатель привода стола, кВт",008
64,"Электродвигатель насоса гидросистемы, кВт",
65,"Электродвигатель насоса смазки, кВт",027
66,"Электродвигатель привода преобразователя, кВт",30
67,"Электродвигатель магнитного сепаратора, кВт",008
68,Электродвигатель продергивания бумаги кВт,
69,"Электродвигатель насоса системы охлаждения, кВт",
70,Габаритные размеры и масса станка,
71,"Габаритные размеры станка (длина х ширина х высота), мм",670 х 745 х 1500
72,"Масса станка с электрооборудованием и охлаждением, кг",580
