index,Наименование параметра,872А
0,Основные параметры станка,
1,"Наибольшие размеры сечения круглой заготовки (угол реза 90°), мм",250
2,"Наибольшие размеры сечения круглой заготовки (угол реза 45°), мм",120
3,"Наибольшие размеры сечения квадратной заготовки (угол реза 90°), мм",250 х 250
4,"Наибольшие размеры сечения прямоугольной заготовки (угол реза 45°), мм",120 х 120
5,"Наибольшее расстояние от полотна до верхней части рамы, мм",223
6,"Максимальная длина отрезаемой заготовки по упору, мм",350
7,"Расстояние от основания станка до опорной поверхности заготовки, мм",
8,"Размеры применяемого ножовочного полотна(ДхШхТолщ.), мм",500
9,"Максимальная ширина пропила, мм",25
10,Число двойных ходов пильной рамы в минуту,85; 110
11,"Длина хода пильной рамы, мм",150
12,"Угол поворота тисков, град",45°
13,"Производительность при резке стали 45 ГОСТ 1050-74 Ø 100мм, не менее см2/мин",
14,Механизм зажима заготовки,вручную
15,Механизм подачи заготовки,вручную
16,Электрооборудование станка,
17,"Электродвигатель главного привода, кВт (об/мин)",17
18,"Электродвигатель гидростанции, кВт (об/мин)",-
19,"Электродвигатель насоса охлаждения, кВт (об/мин)",
20,Габарит и масса пресс-ножниц,
21,"Габарит пресс-ножниц (длна х ширина х высота), мм",1470 х 875 х 925
22,"Масса пресс-ножниц, кг",605
