index,Наименование параметра,372Б
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольшие размеры обрабатываемых изделий (длина × ширина × высота), мм",1000 х 300 х 400
3,"Расстояние от оси шпинделя до зеркала стола, мм",125..575
4,Рабочий стол станка,
5,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 300
6,"Продольное перемещение стола от гидравлики (наименьшее/наибольшее), мм",200..1100
7,"Скорость возвратно-поступательного движения стола (бесступенчатое регулирование), м/мин",3..30
8,"Размеры магнитной плиты (длина × ширина × высота), мм",680 х 305 х 125
9,Шлифовальная бабка,
10,"Размеры шлифовального круга, мм",350 × 40 × 127
11,"Наименьший и наибольший наружный диаметры шлифовального круга, мм",250..350
12,Число оборотов шлифовального круга в минуту,1440
13,"Наибольший допустимый крутящий момент на шпинделе, кгс*м",303
14,Конец шпинделя шлифовальной бабки,Конус 1:3
15,"Наибольшее поперечное перемещение шлифовальной бабки от руки / от гидравлики, мм",350 / 350
16,"Цена деления лимба поперечного перемещения шлифовальной бабки, мм",01
17,"Поперечное перемещение шлифовальной бабки на один оборот лимба, мм",8
18,"Пределы скоростей поперечной подачи шлифовальной бабки за один ход стола (бесступенчатое регулирование), м/мин",3..30
19,"Пределы скоростей поперечной подачи шлифовальной бабки непрерывная (бесступенчатое регулирование), м/мин",05..45
20,"Наибольшее вертикальное перемещение шлифовальной бабки от руки / от гидравлики, мм",460 / нет
21,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",001
22,"Перемещение шлифовальной бабки вертикальное на один оборот лимба, мм",2
23,"Вертикальная подача шлифовальной бабки на число отверстий, мм","0,005..0,05 (10)"
24,"Скорость вертикального ускоренного перемещения, м/мин",нет
25,Привод и электрооборудование станка,
26,Количество электродвигателей на станке,3
27,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)","4,5 (1440)"
28,"Электродвигатель насоса гидросистемы, кВт (об/мин)","2,8 (1420)"
29,"Электродвигатель насоса системы охлаждения, кВт/ об/мин","0,125 (2800)"
30,"Общая установленная мощность всех электродвигателей, кВт",
31,Габариты и масса станка,
32,"Габарит станка, мм",3505 х 1845 x 2135
33,"Масса станка, кг",4500
