index,Наименование параметра,6Т13-1
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",1600 х 400
2,"Наибольшая масса обрабатываемой детали, кг",630
3,"Наибольший продольный ход стола (X), мм",1000
4,"Наибольший поперечный ход стола (Y), мм",340
5,"Наибольший вертикальный ход стола (Z), мм",430
6,"Расстояние от торца шпинделя до поверхности стола, мм",70..500
7,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",420
8,"Расстояние от края стола до вертикальных направляющих станины, мм",60..400
9,Шпиндель,
10,"Мощность привода главного движения, кВт",11
11,"Частота вращения шпинделя, об/мин",315..1600
12,Количество скоростей шпинделя,18
13,"Перемещение пиноли шпинделя, мм",80
14,"Перемещение пиноли шпинделя на одно деление лимба, мм",005
15,"Угол поворота шпиндельной головки, град",±45°
16,Конец шпинделя ГОСТ 836-62,
17,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",50
18,Рабочий стол. Подачи,
19,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",125..1600
20,"Пределы вертикальных подач стола (Z), мм/мин",41..530
21,"Количество подач стола (продольных, поперечных, вертикальных)",22
22,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, м/мин","4/ 1,330"
23,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
24,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",6/ 2
25,"Наибольшее допустимое усилие резания (продольное/ поперечное/ вертикальное), кН",20/ 12/ 8
26,Механика станка,
27,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
28,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
29,Блокировка раздельного включения подач,Есть
30,Торможение шпинделя,Есть
31,Предохранительная муфта от перегрузок,Есть
32,Автоматическая прерывистая подача,Есть
33,Электрооборудование и приводы станка,
34,Количество электродвигателей на станке,4
35,"Электродвигатель главного движения, кВт",11
36,"Электродвигатель привода подач, кВт",30
37,"Электродвигатель зажима инструмента, кВт",018
38,"Электродвигатель насоса СОЖ, кВт",012
39,"Суммарная мощность всех электродвигателей, кВт",143
40,Габариты и масса станка,
41,"Габариты станка (длина ширина высота), мм",2570 х 2252 х 2430
42,"Масса станка, кг",4250
