index,Наименование параметра,1М65
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,"Н/П"
2,"Наибольший диаметр обрабатываемой заготовки над станиной, мм",1000
3,"Наибольший диаметр обрабатываемой заготовки над суппортом, мм",600
4,"Наибольшая длина заготовки (РМЦ), мм","3000, 5000, 8000"
5,"Высота устанавливаемого резца, мм",
6,"Наибольшая масса заготовки в центрах, кг",5000
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",85
9,"Наибольший диаметр зажимаемого прутка, мм",80
10,"Наибольший крутящий момент на шпинделе, кН/м",
11,Число ступеней частот прямого вращения шпинделя,24
12,"Частота прямого вращения шпинделя, об/мин",5...500
13,Размер внутреннего конуса в шпинделе,"100, 1:20"
14,Конец шпинделя по ГОСТ 12595-72,1-15М
15,"Диаметр стандартного патрона, мм",
16,Торможение шпинделя,есть
17,Подачи,
18,"Наибольшее продольное перемещение суппорта РМЦ=3000, мм",2710
19,"Наибольшее поперечное перемещение суппорта, мм",600
20,"Цена деления лимба при продольном перемещении, мм",01
21,"Цена деления лимба при поперечном перемещении, мм",005
22,"Наибольшее продольное перемещение на оборот лимба, мм",50
23,"Наибольшее поперечное перемещение на оборот лимба, мм",6
24,Число ступеней продольных подач,32
25,"Пределы продольных подач, мм/об",020..305
26,"Пределы поперечных подач, мм/об",007..104
27,"Наибольшее продольное усилие резания Pz, кН",12
28,"Наибольшее поперечное усилие резания Pх, кН",780
29,"Скорость быстрых перемещений суппорта, продольных, м/мин",3
30,"Скорость быстрых перемещений суппорта, поперечных, м/мин",1
31,Количество нарезаемых резьб метрических,
32,"Пределы шагов нарезаемых резьб метрических, мм",1...120
33,Количество нарезаемых резьб дюймовых,
34,Пределы шагов нарезаемых резьб дюймовых,28...¼
35,Количество нарезаемых резьб модульных,
36,Пределы шагов нарезаемых резьб модульных,1...120
37,Количество нарезаемых резьб питчевых,нет
38,Выключающие упоры продольные,
39,Выключающие упоры поперечные,
40,Резцовые салазки (верхний суппорт),
41,"Наибольшее перемещение резцовых салазок, мм",240
42,"Цена деления лимба перемещения резцовых салазок, мм",005
43,Число ступеней подач,
44,"Пределы продольных подач, мм/об",
45,"Скорость быстрых перемещений, мм/мин",
46,"Наибольший угол поворота, град",
47,"Цена одного деления угла поворота, град",
48,Задняя бабка,
49,Центр в шпинделе по ГОСТ 13214-79,Морзе 5
50,"Наибольшее перемещение пиноли, мм",300
51,"Наибольшее перемещение пиноли с установленным инструментом, мм",280
52,"Диаметр пиноли, мм",
53,"Наибольшее перемещение пиноли в поперечном направлении, мм",
54,Электрооборудование,
55,Количество электродвигателей на станке,4
56,"Электродвигатель главного привода, кВт",22
57,"Электродвигатель быстрого хода суппорта, кВт",15
58,Привод насоса смазки,С12-54
59,Насос охлаждения (помпа),ПА-22
60,"Суммарная мощность всех электродвигателей, кВт",
61,Габариты и масса станка,
62,"Габариты станка (длина ширина высота) РМЦ=2800,3000, мм",6140 х 2200 х 1760
63,"Масса станка РМЦ=3000, кг",12800
