index,Наименование параметра,DUPLEX 58
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Размеры вертикального стола (основного), мм",
3,"Размеры горизонтального (углового) стола, мм",260 х 720
4,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",320
5,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",
6,"Наибольший продольный ход стола (X), мм",300
7,"Наибольший вертикальный ход стола (Z), мм",300
8,"Наибольший ход хобота (Y), мм",250
9,"Цена деления лимбов, мм",002
10,Горизонтальный и вертикальный шпиндели станка,
11,"Частота вращения горизонтального шпинделя, об/мин",67..825 (8)
12,"Частота вращения вертикального шпинделя, об/мин",102..1250 (8)
13,Количество скоростей шпинделей,8
14,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
15,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
16,"Наибольшее осевое перемещение вертикального шпинделя, мм",80
17,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±180°
18,Конус горизонтального и вертикального шпинделей,
19,Стол,
20,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин (число ступеней)","14, 26, 52 (3)"
21,"Ускоренный ход стола, мм/мин",нет
22,Количество подач стола,3
23,Поворот стола,±30°
24,"Наибольшее усилие подач стола, кН",
25,Шпиндельная бабка,
26,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин (число ступеней)","14, 26, 52 (3)"
27,Количество подач шпиндельной бабки,3
28,"Наибольшее усилие подач шпиндельной бабки, Н",
29,Электрооборудование и привод станка,
30,"Количество электродвигателей на станке, кВт",
31,"Электродвигатель главного привода, кВт (об/мин)","1,6 (940)"
32,"Электродвигатель привода подач, кВт (об/мин)",
33,"Электродвигатель привода насоса охлаждения, кВт",
34,"Суммарная мощность электродвигателей, кВт",
35,Габарит и масса станка,
36,"Габариты станка (длина х ширина х высота), мм",
37,"Масса станка, кг",860
