index,Наименование параметра,6540
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",400 х 1000
2,"Расстояние от торца шпинделя до поверхности стола, мм",100..530
3,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",430
4,"Наибольшее перемещение стола в продольном направлении, мм",800
5,"Наибольшее перемещение стола в поперечном направлении, мм",400
6,"Вертикальное перемещение бабки, мм",430
7,"Наибольшая масса обрабатываемой детали, кг",
8,Шпиндель. Бабка шпиндельная,
9,"Диаметр шпинделя по нижним подшипникам, мм",105
10,"Частота вращения шпинделя, об/мин",315..1600
11,Количество скоростей шпинделя,18
12,Ход гильзы шпинделя,120
13,"Скорость подачи бабки, мм/мин",4..800
14,"Скорость установочного вертикального перемещения бабки, м/мин",08
15,"Наибольший крутящий момент на шпинделе, кгс*м",17180
16,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",1100
17,"Наибольший угол поворота шпиндельной бабки, град",нет
18,"Цена деления шкалы поворота шпиндельной бабки, мин",нет
19,Конус отверстия шпинделя,Морзе 3
20,Конец шпинделя,№3 ГОСТ 836-62
21,Рабочий стол,
22,"Цена деления лимба поперечного перемещения, мм",002
23,"Цена деления лимба продольного перемещения, мм",002
24,"Пределы продольных подач стола (б/с регулирование)(X), мм/мин",10..2000
25,"Пределы поперечных подач стола (б/с регулирование) (Y), мм/мин",10..2000
26,"Скорость быстрых перемещений стола продольных и поперечных, м/мин",30
27,"Наибольшее усилие резания, допускаемое механизмом подачи стола, продольное, кгс",2600
28,"Наибольшее усилие резания, допускаемое механизмом подачи стола, поперечное, кгс",2700
29,Электрооборудование и привод станка,
30,Количество электродвигателей на станке,4
31,"Электродвигатель привода главного движения, кВт",75
32,"Электродвигатель постоянного тока привода подач стола и бабки, кВт",22
33,"Электродвигатель насоса смазки, кВт",04
34,"Электродвигатель насоса охлаждения, кВт",012
35,"Суммарная мощность установленных на станке электродвигателей, кВт",
36,Габаритные размеры и масса станка,
37,"Габаритные размеры (длина х ширина х высота), мм",2507 х 2562 х 2785
38,"Масса станка, кг",8000
