index,Наименование параметра,UPW 12.5 X 70
0,Основные параметры станка,
1,"Усилие накатывания, кН (тс)","5..125 (0,5..12,5)"
2,"Наибольший диаметр накатываемой заготовки радиальным способом, мм",3..70
3,"Наибольший шаг накатываемой резьбы, мм",4
4,"Наибольшая длина накатываемой резьбы радиальным способом, мм",125
5,"Наибольшая длина накатываемой резьбы радиально-осевым способом, мм",2000
6,"Диаметр накатных роликов, мм",195
7,"Диаметр шпинделей под накатные ролики, мм",63
8,"Длина посадочного места на шпинделях, мм",125
9,"Высота осей шпинделей над станиной, мм",160
10,"Расстояние между осями накатных роликов, мм",130..240
11,"Наибольший ход салазок подвижной головки, мм",0..15
12,"Частота вращения шпинделей, об/мин",20..90
13,Привод станка,
14,Количество электродвигателей,
15,"Электродвигатель главного привода, кВт (об/мин)",4
16,"Электродвигатель гидропривода, кВт (об/мин)",15
17,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",013
18,"Электродвигатель насоса смазки, кВт (об/мин)",
19,"Электродвигатель вентилятора, кВт (об/мин)",
20,Габарит и масса станка,
21,"Габариты станка (требуемая площадь), мм",1350 х 1080
22,"Масса станка, кг",2100
