index,Наименование параметра,КОРВЕТ-42
0,Основные параметры станка,
1,"Диаметр сверла, мм",3..16
2,"Размер стола, мм",198 х 198
3,"Размер опорной базы (основания), мм",340 х 210
4,"Диаметр колонны, мм",60
5,"Наибольшее расстояние от торца шпинделя до стола, мм",
6,"Наибольшее расстояние от торца шпинделя до основания, мм",
7,"Расстояние от шпинделя до колонны (вылет), мм",
8,Тиски в комплекте,"3"""
9,Шпиндель,
10,"Скорости вращения шпинделя, об/мин (Число ступеней)",210..2580 (12)
11,"Ход шпинделя, мм",60
12,Посадка патрона,МТ 2
13,Конус шпинделя,
14,"Угол наклона шпинделя, град",-
15,"Горизонтальное перемещение шпинделя, мм",-
16,"Индикатор частоты вращения шпинделя, мм",-
17,Электрооборудование,
18,"Номинальное напряжение питания, В","220 ±22, 50 Гц"
19,"Номинальная потребляемая мощность, Вт",450
20,Тип двигателя,асинхронный
21,Габариты и масса станка,
22,"Габариты упаковки станка (длина ширина высота), мм",
23,"Масса станка нетто/брутто, кг",35
