index,Наименование параметра,1А730
0,Основные параметры станка,
1,Год начала серийного выпуска,1954
2,Точность по ГОСТ 8-82,Н
3,"Наибольший диаметр обрабатываемого изделия над станиной, мм",410
4,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",320
5,"Наибольшая длина обрабатываемого изделия (РМЦ), мм",200..500
6,"Наибольшая длина обработки двумя резцами, мм",460
7,"Высота центров, мм",200
8,"Наибольший вес изделия обрабатываемого в центрах, кг",
9,"Высота центров над продольным суппортом, мм",
10,"Высота центров над поперечным суппортом, мм",
11,"Высота сечения устанавливаемых резцов, мм",
12,Шпиндель,
13,Количество рабочих скоростей шпинделя,12
14,"Пределы чисел оборотов прямого вращения шпинделя, об/мин (Число ступеней)",56..710 (12)
15,"Наибольший крутящий момент на шпинделе не менее, кНм (кгс*м)",
16,"Диаметр отверстия в шпинделе, мм",52
17,Конус в шпинделе,Морзе 5
18,Конец шпинделя по ГОСТ 12595-72,
19,Продольный суппорт,
20,Количество подач продольного суппорта,
21,"Наибольшее поперечное установочное перемещение суппорта, мм",
22,"Наибольшее поперечное рабочее перемещение суппорта, мм",
23,"Наибольшее продольное установочное перемещение суппорта, мм",325
24,"Наибольшее продольное рабочее перемещение суппорта, мм",250
25,"Цена деления лимба, мм",
26,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",
27,"Допустимое тяговое усилие на ходовом винте, кгс",
28,"Скорость быстрых перемещений продольного суппорта, мм/мин",
29,Количество проходов в цикле,
30,Количество сменяемых копиров,
31,Поперечный суппорт,
32,Количество подач поперечного суппорта,
33,"Наибольшее поперечное установочное перемещение суппорта, мм",225
34,"Наибольшее поперечное рабочее перемещение суппорта, мм",135
35,"Цена деления лимба, мм",
36,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",
37,"Скорость быстрых перемещений поперечного суппорта, мм/мин",
38,"Допустимое тяговое усилие на ходовом винте, кгс",
39,Задняя бабка,
40,Конус пиноли,Морзе 4
41,"Наибольшее перемещение пиноли, мм",
42,Электрооборудование станка,
43,"Количество электродвигателей на станке, кВт",
44,"Электродвигатель главного привода, кВт (об/мин)",14 (1460)
45,"Электродвигатель привода быстрых и рабочих подач продольного суппорта, кВт (об/мин)","1,0 (1410)"
46,"Электродвигатель привода быстрых и рабочих подач поперечного суппорта, кВт",
47,"Электродвигатель привода насоса циркуляционной смазки, кВт",
48,"Электродвигатель гидростанции, кВт",
49,"Электродвигатель насоса охлаждения, кВт",
50,"Электродвигатель транспортера стружки, кВт",
51,"Суммарная мощность электродвигателей на станке, кВт",
52,Габариты и масса станка,
53,"Габаритные размеры станка (длина, ширина, высота), мм",2335 х 1800 х 1300
54,"Масса станка , кг",3740
