index,Наименование параметра,5А122
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82,Н
2,"Наибольший диаметр устанавливаемого изделия, мм",250
3,"Наибольшая ширина нарезаемого венца (длина нарезки), мм",50
4,"Наибольший модуль нарезаемого колеса, мм","5, 6"
5,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес внутреннего зацепления, мм",
6,"Наибольшая ширина нарезаемого венца (длина нарезки) внутреннего зацепления, мм",
7,"Наибольшее расстояние от оси долбяка (шпинделя, штосселя) до оси стола (планшайбы), мм",260
8,"Расстояние от зеркала стола (планшайбы) до торца шпинделя, мм",160..250
9,"Расстояние от пола до планшайбы, мм",895
10,Суппорт. Шпиндель (штоссель) долбяка,
11,"Наибольший ход долбяка (шпинделя), мм",60
12,"Наибольший продольный ход суппорта инструмента (установочный), мм",90
13,"Цена деления шкалы установки глубины долбления зуба, мм",
14,"Наибольший диаметр устанавливаемого долбяка, мм",100
15,Пределы чисел двойных ходов долбяка в минуту,
16,"Диаметр шейки шпинделя (оправки под долбяк), мм",44443
17,Конец шпинделя для крепления инструмента,Морзе 5
18,"Отход инструмента во время холостого хода, мм",045
19,Рабочий стол (планшайба),
20,"Наибольшее перемещение стола (планшайбы) при внутреннем долблении, мм",-90..260
21,"Диаметр фланца рабочего стола (планшайбы), мм",320
22,"Диаметр отверстия (цилиндрической выточки) в шпинделе рабочего стола, мм",65
23,"Глубина отверстия (цилиндрической выточки) в шпинделе рабочего стола, мм",10
24,"Цена деления лимба установки межцентрового расстояния, мм",
25,"Скорость быстрого перемещения стола, м/мин",2
26,"Скорость быстрого наладочного вращения стола, об/мин",
27,"Отход инструмента во время холостого хода, мм",-
28,Привод и электрооборудование станка,
29,Количество электродвигателей на станке,6
30,"Электродвигатель главного привода - поступательное движение долбяка, кВт","4,0/ 4,5"
31,"Электродвигатель насоса гидропривода, кВт",22
32,"Электродвигатель насоса охлаждения, кВт",
33,"Электродвигатель привода быстрого вращения стола, кВт",
34,"Электродвигатель транспортера стружки, кВт",
35,"Электродвигатель магнитного сепаратора, кВт",012
36,"Суммарная мощность электродвигателей, кВт",1132
37,Габаритные размеры и масса станка,
38,"Габаритные размеры станка (длина х ширина х высота), мм",1060 х 1760 х 2280
39,"Масса станка с электрооборудованием и охлаждением, кг",5000
