index,Наименование параметра,2В622Ф4
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",Ø 125
2,"Наибольший диаметр растачиваемого отверстия, мм",Ø 320
3,"Наибольший диаметр сверла (по конусу), мм",
4,"Наибольший диаметр фрезы, мм",
5,"Точность перемещений по координатам (X,Y,Z) на длине перемещения 1000 мм, мм","± 0,015"
6,"Точность углового позиционирования поворотного стола через 90°, мм","± 0,015"
7,Стол,
8,"Рабочая поверхность стола, мм",1250 х 1250
9,"Наибольшая масса обрабатываемого изделия, кг",5000
10,"Наибольшее продольное перемещение стола (Z), мм",1000
11,"Наибольшее поперечное перемещение стола (X), мм",1250
12,"Наибольший поворот (B), град",360°
13,"Пределы рабочих подач стола (X, Y, Z, W), мм/мин",1..5000
14,"Пределы рабочих подач стола (B), град/мин",1..360°
15,"Наибольшее усиление подачи стола (вдоль и поперек), Н (кгс)",
16,"Скорость быстрых продольных перемещений (X, Y, Z, W), м/мин",8
17,"Скорость быстрых установочных круговых перемещений (B), об/мин",32
18,Шпиндель,
19,"Наибольшее горизонтальное (осевое, продольное) перемещение шпинделя, мм",710
20,"Частота вращения шпинделя, об/мин",6..1250
21,Дискретность задания скоростей шпинделя,1
22,"Наибольший крутящий момент на шпинделе, Н (кгс*м)",1765 (180)
23,"Пределы рабочих подач шпинделя (W), мм/мин",1..5000
24,"Пределы рабочих подач шпиндельной бабки вертикально (Y), мм/мин",1..5000
25,"Скорость быстрых перемещений шпиндельной бабки вертикально (Y), м/мин",8
26,"Наибольшее вертикальное перемещение шпиндельной бабки (Y), мм",1000
27,"Скорость быстрых перемещений шпинделя (W), м/мин",8
28,"Наибольшее осевое усиление подачи (X, Y, Z, W), Н (кгс)",10780 (11000)
29,Конец выдвижного шпинделя по ГОСТ19860-74,ISO 50
30,Устройство программного управления (УЧПУ),
31,Модель УЧПУ,2C42—65
32,Количество одновременно управляемых координат,
33,Дискретность задания координат,0001
34,Привод,
35,Количество электродвигателей на станке,
36,"Электродвигатель привода главного движения Мощность, кВт",22
37,"Электродвигатель привода подач, Н*м",
38,"Суммарная мощность электродвигателей, кВт",
39,Габариты и масса станка,
40,"Габариты станка, включая ход стола и салазок, мм",7600 х 3750 х 3500
41,"Масса станка, кг",18500
