index,Наименование параметра,3А110
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр обрабатываемого изделия, мм",140
3,"Наибольшая длина шлифования, мм",180
4,"Рекомендуемый диаметр шлифования, мм",3..30
5,"Наибольшая длина обрабатываемого изделия, мм",200
6,"Наибольшая длина шлифования, мм",180
7,"Рекомендуемое соотношение диаметра шлифования к длине шлифования, мм",1:8
8,"Наибольший диаметр обрабатываемого изделия при внутреннем шлифовании, мм",
9,"Рекомендуемый диаметр шлифуемого отверстия, мм",10..25
10,"Рекомендуемое соотношение диаметра шлифуемого отверстия к длине шлифования, мм",1:2
11,"Наибольшая длина внутреннего шлифования, мм",100
12,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",80
13,"Наибольшая масса обрабатываемого изделия, кг",
14,Рабочий стол станка,
15,"Наибольшая длина перемещения стола, мм",300
16,"Ручное ускоренное перемещение стола за один оборот маховика, мм",175
17,"Ручное замедленное перемещения стола за один оборот маховика, мм",3
18,"Наименьший ход стола от гидросистемы при переключении упорами, мм",6
19,"Скорость перемещения стола от гидросистемы (бесступенчатое регулирование), м/мин",01..4
20,"Наибольший угол поворота верхнего стола, град",±10°
21,"Цена деления шкалы поворота верхнего стола, град","0,5°"
22,Шлифовальная бабка,
23,"Наибольшее перемещение шлифовальной бабки по винту, мм",80
24,"Ручная подача шлифовальной бабки на диметр изделия за один оборот маховичка, мм",025
25,"Ручная подача шлифовальной бабки на диметр изделия за один ход толчковой рукоятки, мм",0001
26,"Цена деления лимба ручной подачи шлифовальной бабки на диметр изделия за один оборот маховичка, мм","0,005; 0,02"
27,"Размер шлифовального круга, мм",180..250 х 20 х 76
28,"Частота вращения шпинделя шлифовальной бабки, об/мин","2840, 2450"
29,"Скорость резания шлифовального круга, м/с",
30,"Величина быстрого подвода шлифовальной бабки от гидравлики, мм",25
31,"Время быстрого подвода шлифовальной бабки, с",2
32,"Периодическая подача шлифовальной бабки на диметр изделия от храпового механизма (при реверсе справа, слева, при каждом реверсе), мм",
33,"Периодическая подача шлифовальной бабки на диметр изделия от механизма врезания (при реверсе справа, слева, при каждом реверсе), мм",0005..008
34,"Ручная мелкая толчковая подача шлифовальной бабки на глубину шлифования, мм",00025..001
35,"Непрерывная подача для врезного шлифования скорость, мм/мин",
36,"Непрерывная подача для врезного шлифования, мм на оборот изделия",
37,"Цена деления лимба поперечной подачи шлифовальной бабки на диаметр изделия, мм",0001
38,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",
39,"Угол поворота шлифовальной бабки, град",±90
40,"Цена деления шкалы поворота шлифовальной бабки, град",1
41,Приспособление для внутренней шлифовки,
42,"Диаметр шлифовального круга внутреннего шлифования, мм","8, 10, 20"
43,"Наибольшая ширина (высота) шлифовального круга, мм",
44,"Частота вращения шпинделя внутреннего шлифования, об/мин",14000
45,Передняя бабка,
46,"Частота вращения изделия (бесступенчатое регулирование), об/мин",150..750
47,Размеры центра по ГОСТ 2847-67,Конус Морзе 4
48,"Поворот передней бабки по часовой стрелке, град",30
49,"Поворот передней бабки против часовой стрелки, град",90
50,Задняя бабка,
51,Размеры центра по ГОСТ 2847-67,Конус Морзе 3
52,"Величина отвода пиноли задней бабки от руки, мм",18
53,Привод и электрооборудование станка,
54,Количество электродвигателей на станке,6
55,"Электродвигатель шпинделя шлифовальной бабки, кВт",15
56,"Электродвигатель шпинделя внутришлифовального, кВт",027
57,"Электродвигатель привода изделия, кВт",0245
58,"Электродвигатель насоса гидросистемы, кВт",11
59,"Электродвигатель насоса системы охлаждения, кВт",012
60,"Электродвигатель магнитного сепаратора, кВт",008
61,Габаритные размеры и масса станка,
62,"Габаритные размеры станка (длина х ширина х высота), мм",1600 х 1670 х 1550
63,"Масса станка с электрооборудованием и охлаждением, кг",3780
