index,Наименование параметра,5Б150
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса, мм",12
2,Наибольший диаметр нарезаемых цилиндрических прямозубых колес,800
3,"Наибольшая ширина нарезаемого венца (длина нарезки), мм",170
4,"Диаметр делительного колеса суппорта, мм",
5,"Наибольшее расстояние от оси долбяка (шпинделя) до оси стола, мм",
6,"Расстояние от зеркала стола (планшайбы) до торца шпинделя, мм",345
7,"Расстояние от пола до планшайбы, мм",
8,Шпиндель долбяка,
9,"Наибольший ход долбяка (шпинделя), мм",200
10,"Наибольший диаметр устанавливаемого долбяка, мм",
11,Пределы чисел двойных ходов долбяка в минуту,33..188
12,"Диаметр оправки под долбяк, мм",44443
13,Конец шпинделя для крепления инструмента,Морзе 5
14,Рабочий стол (план-шайба),
15,"Диаметр рабочего стола (планшайбы), мм",800
16,"Диаметр отверстия в столе, мм",120
17,"Диаметр делительного колеса, мм",
18,"Пределы круговых подач стола на один двойной ход долбяка (при диаметре долбяка 100 мм), мм",02..15
19,"Пределы радиальных подач стола на один двойной ход долбяка, мм",1..54
20,"Скорость быстрого перемещения стола, мм/мин",
21,Привод и электрооборудование станка,
22,Количество электродвигателей на станке,
23,"Электродвигатель главного привода - поступательное движение долбяка (М1), кВт",
24,"Электродвигатель быстрого вращения долбяка (М2), кВт",
25,"Электродвигатель вращения стола (план-шайбы), кВт",
26,"Электродвигатель радиальной подачи стола, кВт",
27,"Электродвигатель насоса смазки, кВт",
28,"Электродвигатель насоса гидропривода, кВт",
29,"Электродвигатель насоса охлаждения, кВт",
30,"Суммарная мощность электродвигателей, кВт",
31,Габаритные размеры и масса станка,
32,"Габаритные размеры станка (длина х ширина х высота), мм",
33,"Масса станка с электрооборудованием и охлаждением, кг",
