index,Наименование параметра,7М37
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",150..1000
3,"Наибольшее сечение резца, мм",30 х 45
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",1140
5,"Высота ползуна над рабочей поверхностью стола, мм",80..500
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",560 х 1000
8,"Наибольшее перемещение стола - горизонтальное, мм",800
9,"Наибольшее перемещение стола - вертикальное, мм",420
10,Число горизонтальных подач стола,
11,"Пределы горизонтальных подач стола, мм/дв.ход",02..50
12,"Быстрое, горизонтальное перемещение стола, м/мин",238
13,"Быстрое вертикальное перемещение стола, м/мин",0168
14,"Цена деления лимба горизонтального перемещения, мм",01
15,"Цена деления лимба вертикального перемещения, мм",005
16,Ползун. Суппорт,
17,"Наибольшее вертикальное перемещение салазок суппорта (головки резца) от руки, мм",200
18,"Цена деления лимба, мм",005
19,"Размеры окна резцедержателя, мм",32 х 55
20,"Наибольший угол поворота резцовой головки до входа в станину, град",±60
21,"Наибольший угол поворота доски резцедержателя, град",±30
22,"Наибольшее допустимое усилие резания, кН",28
23,Число ступеней скоростей главного привода (перемещения ползуна),4
24,Числа двойных ходов ползуна в минуту,
25,"Диапазон скоростей ползуна суппорта, мм/мин","3..8, 8..16, 16..24, 24..48"
26,Число подач суппорта,
27,"Подачи суппорта, мм/дв.ход",015..105
28,Электрооборудование. Привод,
29,Количество электродвигателей на станке,2
30,"Электродвигатель главного движения, кВт",10
31,"Электродвигатель быстрых перемещений стола, кВт",11
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",3600 х 1860 х 1945
34,"Масса станка, кг",4500
