index,Наименование параметра,6Л463
0,Основные параметры станка,
1,Масштаб копирования,1:1 ÷ 1:50
2,"Диаметр наибольшей окружности пантографа примасштабе 1:1, мм",200
3,"Размеры рабочей поверхности стола изделия, мм",200 х 320
4,"Размеры рабочей поверхности стола копира, мм",250 х 400
5,"Наибольший продольный ход стола (X), мм",200
6,"Наибольший поперечный ход стола (Y), мм",125
7,"Наибольший вертикальный ход стола (Z), мм",250
8,"Перемещение продольное стола (X) на одно деление лимба, мм",005
9,"Перемещение поперечное стола (Y) на одно деление лимба, мм",005
10,"Перемещение вертикальное стола (Z) на одно деление лимба, мм",0025
11,"Перемещение продольное стола (X) на один оборот лимба, мм",4
12,"Перемещение поперечное стола (Y) на один оборот лимба, мм",4
13,"Перемещение поперечное стола (Z) на один оборот лимба, мм",25
14,"Поворот стола копира, град",±30°
15,"Величина микрометрического перемещения шпинделя, мм",1
16,"Цена деления лимба микрометрического перемещения шпинделя, мм",005
17,"Величина хода быстрого подвода шпинделя, мм",4
18,"Величина перемещения шпинделя при работе по контршаблону, мм",
19,"Частота вращения шпинделя, об/мин",1260..15900
20,Количество скоростей шпинделя,12
21,Электрооборудование и привод станка,
22,Количество электродвигателей на станке,1
23,"Электродвигатель привода главного движения, кВт",027
24,Габаритные размеры и масса станка,
25,"Габаритные размеры (длина х ширина х высота), мм",1100 х 1000 х 1260
26,"Масса станка, кг",300
