index,Наименование параметра,5С280П
0,Основные параметры станка,
1,Наибольший диаметр нарезаемых обрабатываемых колес,800
2,"Наибольший модуль нарезаемого колеса, мм",16
3,"Наибольшая длина образующей начального конуса нарезаемых колес при β =30°, мм",400
4,"Наименьший и наибольший углы делительного конуса конического колеса, град",5°42'..84°18'
5,Количество зубьев нарезаемых колес,5..150
6,"Наибольшая высота нарезаемых зубьев, мм",35
7,"Наибольшая ширина венца нарезаемых колес, мм",125
8,"Время обработки одного зуба, сек",12..200
9,Наибольшее передаточное число нарезаемых зубчатых колес при угле между осями 90°,10
10,"Угол установки люльки, град",0..360°
11,"Цена деления отсчета по шкале поворота люльки, мин",1
12,"Расстояние от торца инструментального шпинделя до центра поворота бабки изделия при нулевом положении скользящей базы, мм",93
13,"Диаметры зуборезных головок, мм","160, 200, 250, 315, 400, 500"
14,"Частота вращения зуборезной головки, об/мин",20..125
15,"Наименьшее и наибольшее расстояние от торца шпинделя бабки изделия до центра стака, мм",135..600
16,"Точность отсчета по шкале осевой установки бабки, мм",002
17,"Установка бабки на угол внутреннего конуса, град",+5..+90
18,"Точность отсчета по шкале установки бабки на угол внутреннего конуса, мин",1
19,"Отвод стола в крайнее нерабочее положение, мм",130
20,"Вертикальная установка бабки изделия для нарезания гипоидных колес вверх и вниз, мм",125
21,"Точность отсчета по лимбу гипоидного смещения бабки, мм",002
22,"Наибольшее смещение расчитанной базы от центра станка на люльку/ от люльки, мм",30/ 65
23,Привод и электрооборудование станка,
24,Количество электродвигателей на станке,
25,"Электродвигатель главного привода, кВт",75
26,"Электродвигатель насоса гидропривода, кВт",22
27,"Магнитный усилитель привода механизма подач, кВт",20
28,"Электродвигатель привода механизма подач, кВт",22
29,"Электродвигатель насоса охлаждения, кВт",06
30,"Суммарная мощность электродвигателей, кВт",
31,Габаритные размеры и масса станка,
32,"Габаритные размеры станка (длина х ширина х высота), мм",3170 х 2180 х 2200
33,"Масса станка с электрооборудованием и охлаждением, кг",15189
