index,Наименование параметра,CTX 310
0,Рамер рабочей зоны станка,
1,"Наибольший диаметр устанавливаемой заготовки, мм",Ø 330
2,"Наибольший диаметр обрабатываемой заготовки, мм",Ø 200
3,"Поперечный ход револьверной головки (ось X), мм",1825
4,"Продольный ход револьверной головки (ось Z), мм",455
5,"Ускоренный ход револьверной головки (ось X/Z), м/мин",30/30
6,Главный шпиндель,
7,"Конец шпинделя - плоский фланец, мм",Ø 140h5
8,"Диаметр переднего подшипника, мм",Ø 100
9,"Наибольший диаметр прутка, проходящего через отверстие в шпинделе, мм",Ø 51
10,"Диаметр зажимного патрона, мм",Ø 210
11,"Мощность главного привода (40/100% ED), кВт","16,5 /11"
12,Ускорение шпинделя,"0 – 5000 об/мин за 5,8 с"
13,"Крутящий момент (40/100% ED), Нм","166,5/112"
14,"Диапазон скорости вращения главного шпинделя, об/мин",0..5000
15,Точность позиционирования,
16,"Точность позиционирования согласно ISO 230-2 по оси X- / Z-(система непрямого измерения), мкм",8/8
17,"Точность позиционирования согласно ISO 230-2 на оси C, мкм",20
18,Револьверная инструментальная головка,
19,Система крепления инструмента,VDI 30
20,"Диаметр крепления держателя, мм",30
21,Число инструментальных позиций,12
22,Число приводных инструментальных позиций,12
23,"Мощность приводного инструмента (40% ED) при 2000 об/мин, кВт",42
24,"Крутящий момент максимальный (40% ED), Нм",20
25,"Диапазон скорости вращения приводного инструмента, об/мин",0..4500
26,Параметы резания. Силовое резание,
27,"Скорость резания Vc, м/мин",280
28,"Скорость подачи, мм/об",05
29,"Глубина резания, мм",3
30,Материал,Сталь 45
31,Чистовой токарный инструмент,
32,"Скорость резания Vc, м/мин",400
33,"Скорость подачи, мм/об",008
34,"Шероховатость Ra, мкм",08
35,"Радиус инструмента, мм","R 0,4"
36,"Радиус инструмента, мм","R 0,4"
37,Материал,AL
38,Сверление,
39,"Скорость резания, м/мин",160
40,"Скорость подачи, мм/об",015
41,"Диаметр инструмента, мм",ø 40
42,Материал,Сталь 45
43,Задняя бабка,
44,"Ход задней бабки, мм",396
45,"Конус крепления центра в задней бабке, Mk",4
46,"Усилие задней бабки, максимальное, даН",400
47,Системы управления,
48,Системы управления,"15"" DMG MORI SLIMline® с Operate на SIEMENS"
49,Габариты и масса станка,
50,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",3145 × 1539 × 2153
51,"Масса станка с транспортером стружки, кг",3800
