index,Наименование параметра,1616
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",320
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",175
4,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",750
5,"Наибольшая длина обтачивания, мм",700
6,"Высота от опорной поверхности резца до линии центров, мм",20
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",185
8,"Высота оси центров над плоскими направляющими станины (высота центров), мм",160
9,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
10,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
11,Шпиндель,
12,"Диаметр сквозного отверстия в шпинделе, мм",30
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",29
14,"Частота прямого вращения шпинделя, об/мин",19..1415
15,Число ступеней частот прямого вращения шпинделя,24
16,"Частота обратного вращения шпинделя, об/мин",19..1415
17,Число ступеней частот обратного вращения шпинделя,24
18,"Размер внутреннего конуса в шпинделе, М",Морзе 5
19,Конец шпинделя по ГОСТ 12593-72,
20,Торможение шпинделя,нет
21,Блокировка рукояток,нет
22,"Точность, тип и размер подшипника в передней опоре",АВ 3182115 75х115-30
23,Суппорт. Подачи,
24,"Наибольшее перемещение продольной каретки суппорта от руки, по валику, по винту, мм",850/ 750/ 750
25,"Наибольшее перемещение поперечной каретки суппорта от руки, по винту, мм",210/ 90/ нет
26,"Цена деления лимба продольного перемещения суппорта, мм",1
27,"Цена деления лимба поперечного перемещения суппорта, мм",002
28,"Продольное перемещение на один оборот лимба, мм",
29,"Поперечное перемещение на один оборот лимба, мм",
30,Число ступеней продольных подач,140
31,"Пределы продольных рабочих подач, мм/об",007..167
32,"Пределы поперечных рабочих подач, мм/об",002..124
33,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
34,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
35,Количество нарезаемых резьб метрических,
36,"Пределы шагов нарезаемых резьб метрических, мм",05..9
37,Количество нарезаемых резьб дюймовых,
38,Пределы шагов нарезаемых резьб дюймовых,38..2
39,Количество нарезаемых резьб модульных,
40,Пределы шагов нарезаемых резьб модульных,05..9
41,Количество нарезаемых резьб питчевых,
42,Пределы шагов нарезаемых резьб питчевых,нет
43,Резцовые салазки,
44,"Наибольшее перемещение резцовых салазок, мм",105
45,"Перемещение резцовых салазок на одно деление лимба, мм",002
46,"Перемещение резцовых салазок на один оборот лимба, мм",
47,"Наибольший угол поворота резцовых салазок, град",±45°
48,"Цена деления шкалы поворота резцовых салазок, град",1°
49,"Наибольшее сечение державки резца, мм",20 х 30
50,"Высота от опорной поверхности резца до оси центров (высота резца), мм",20
51,Число резцов в резцовой головке,4
52,Задняя бабка,
53,"Диаметр пиноли задней бабки, мм",
54,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 4
55,"Наибольшее перемещение пиноли, мм",95
56,"Перемещение пиноли на одно деление лимба, мм",1
57,"Величина поперечного смещения корпуса бабки, мм",±10
58,Электрооборудование,
59,Количество электродвигателей на станке,3
60,"Привод главного движения, кВт","2,8/ 1420"
61,Тип электродвигателя главного привода,АОЛ42-4
62,"Привод ускоренных перемещений, кВт",-
63,"Привод маслонасоса в станции смазки С48-14М, кВт",01
64,"Привод насоса охлаждения, кВт",01
65,Насос охлаждения (помпа),ПА-22
66,Габариты и масса станка,
67,"Габариты станка (длина ширина высота), мм",2355 х 852 х 1275
68,"Масса станка, кг",1850
