index,Наименование параметра,5К328А
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса, мм",12
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с отведенной задней стойкой (без контрподдержки), мм",1250
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с задней стойкой (с контрподдержкой), мм",800
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",1000
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",600
6,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (60°) (для фрезы Ø 180 мм), мм",400
7,"Наибольший угол наклона нарезаемых зубъев обрабатываемых колес, град",±60
8,"Наибольший диаметр червячных нарезаемых колес, мм",800
9,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",560
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",400
11,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",310
12,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (60°), мм",290
13,Наименьшее число нарезаемых зубьев,20
14,Стол,
15,"Диаметр стола, мм",935
16,"Расстояние между осями стола и фрезы, мм",115..820
17,"Расстояние от плоскости стола и оси фрезы, мм",230..880
18,"Ускоренное перемещение стола, мм/мин",170
19,"Ручное перемещение стола за один оборот лимба, мм",05
20,Суппорт,
21,"Наибольшее перемещение фрезерного суппорта, мм",650
22,"Ускоренное перемещение каретки суппорта, мм/мин",400
23,"Наибольший диаметр режущего инструмента (червячной фрезы), мм",225
24,"Наибольшая длина режущего инструмента (червячной фрезы), мм",240
25,"Диаметры фрезерных оправок, мм",
26,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",120
27,"Расстояние от оси шпинделя до направляющих суппорта, мм",390
28,"Поворот суппорта на одно деление шкалы линейки, град",1°
29,"Поворот суппорта на одно деление шкалы нониуса, мин",5`
30,Конусное отверстие шпинделя,Морзе 6
31,"Наибольшее осевое перемещение фрезы, мм",240
32,"Наибольшая величина вертикального перемещения суппорта при угле наклона (30°/ 45°/ 60°), мм",
33,Механика станка,
34,"Пределы оборотов фрезы, об/мин",
35,Число ступеней оборотов фрезы,
36,"Пределы продольных (вертикальных) подач, мм/об",
37,"Пределы радиальных подач, мм/об",
38,"Пределы тангенциальных подач, мм/об",
39,Число ступеней подач,
40,Привод и электрооборудование станка,
41,"Электродвигатель главного привода, кВт",10
42,"Электродвигатель ускоренного хода, кВт",4
43,"Электродвигатель привода гидронасоса, кВт",22
44,"Электродвигатель насоса охлаждения, кВт",06
45,"Электродвигатель транспортера стружки, кВт",
46,"Суммарная мощность электродвигателей, кВт",
47,Габаритные размеры и масса станка,
48,"Габаритные размеры станка (длина х ширина х высота), мм",3580 х 1790 х 2590
49,"Масса станка с электрооборудованием и охлаждением, кг",14000
