index,Наименование параметра,2118
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",18
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0...650
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",200
4,Рабочий стол,
5,"Максимальная нагрузка на стол (по центру), кг",
6,"Размеры рабочей поверхности стола (длина х ширина), мм",350 х 340
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее вертикальное перемещение стола (ось Z), мм",445
9,"Перемещение стола на один оборот рукоятки, мм",
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной головки, мм",150
12,"Перемещение шпиндельной головки на один оборт маховичка, мм",
13,"Ход гильзы шпинделя, мм",
14,"Перемещение шпинделя на одно деление лимба, мм",
15,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",
16,"Частота вращения шпинделя, об/мин","300, 450, 735, 1200, 1980, 3100"
17,Количество скоростей шпинделя,6
18,"Наибольший допустимый крутящий момент, кг*см",
19,Конус шпинделя,Морзе 2
20,Механика станка,
21,Число ступеней рабочих подач стола,1
22,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм/об",02
23,"Наибольшая допустимая сила подачи, кгс",
24,Торможение шпинделя,
25,Привод,
26,Электродвигатель привода главного движения Тип,А-41/6
27,"Электродвигатель привода главного движения Число оборотов в минуту, об/мин",930
28,"Электродвигатель привода главного движения Мощность, кВт",10
29,Электронасос охлаждающей жидкости Тип,ПА-22-А
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",875 х 550 х 2005
32,"Масса станка, кг",450
