index,Наименование параметра,2Б125
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",25
2,"Наибольший диаметр нарезания резьбы в стали 45, мм",
3,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",700
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",250
5,Рабочий стол,
6,"Размеры рабочей поверхности стола, мм",400 х 350
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее вертикальное перемещение стола (ось Z), мм",400
9,Шпиндель,
10,"Наибольшее перемещение (ход) шпинделя, мм",200
11,"Перемещение шпинделя на одно деление лимба, мм",
12,"Частота вращения шпинделя, об/мин",165..2130
13,Количество скоростей шпинделя,3 х Б/С
14,"Наибольший допустимый крутящий момент, Нм",
15,Конус шпинделя,Морзе 3
16,Механика станка,
17,Число ступеней рабочих подач шпинделя,Б/с
18,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",0104...0837
19,"Наибольшая допустимая сила подачи, кН",9
20,Динамическое торможение шпинделя,
21,Привод,
22,"Электродвигатель привода главного движения, кВт (об/мин)","3,0 (1430)"
23,Электронасос охлаждающей жидкости Тип,ПА-22
24,Габарит станка,
25,"Габариты станка, мм",950 х 650 х 2460
26,"Масса станка, кг",880
