index,Наименование параметра,С-1
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",170
2,"Наибольший диаметр заготовки над суппортом, мм",50
3,"Высота центров над плоскими направляющими станины, мм",102
4,"Наибольшая длина заготовки в центрах (РМЦ), мм",350
5,"Наибольшая длина обтачивания без перестановки суппрта, мм",95
6,"Наибольшая высота держателя резца, мм",10 х 15
7,"Высота от опорной поверхности резца до линии центров, мм",13.5
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",30
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",20
11,Конус Морзе шпинделя,нет
12,Число ступеней частот прямого вращения шпинделя,11
13,"Частота прямого вращения шпинделя, об/мин",3100..1500
14,Суппорт. Подачи,
15,"Наибольшее поперечное перемещение суппорта, мм",98
16,"Перемещение суппорта поперечное на одно деление лимба, мм",001
17,"Наибольшее перемещение резцовых салазок, мм",95
18,"Перемещение резцовых салазок на одно деление лимба, мм",001
19,"Угол поворота резцовых салазок, град",±90°
20,Задняя бабка,
21,Конус задней бабки,Морзе №1
22,"Наибольшее перемещение пиноли, мм",80
23,Электрооборудование,
24,"Электродвигатель главного привода, кВт","0,52 2700 об/мин"
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",1000 х 660 х 1000
27,"Масса станка, кг",70
