index,Наименование параметра,1М10ДА
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,А
2,"Наибольший диаметр устанавливаемого прутка, мм",10
3,"Наибольшая длина подачи прутка с дисковым кулачком, мм",80
4,"Наибольшая длина подачи прутка с колокольным кулачком, мм",
5,"Расстояние от торца шпинделя до опорной плоскости резцов, мм",1..156
6,"Расстояние от основания автомата до оси шпинделя, мм",1120
7,"Наименьший остаток прутка при работе с люнетом, мм",90
8,"Наименьший остаток прутка при работе без люнета, мм",20
9,"Наибольшие размеры обрабатываемого прутка, мм",10 х 2000
10,"Наибольшее сечение резца, мм",10 х 10
11,"Пределы времени изготовления детали, с",099..652
12,Шпидель,
13,Число ступеней частот прямого вращения шпинделя,24
14,"Частота прямого вращения шпинделя, об/мин",900..12500
15,"Размер внутреннего конуса цанги, мм",
16,"Угол конуса цанги, град",
17,"Наибольший крутящий момент на шпинделе, Н·м",25
18,Суппорт. Подачи,
19,"Пределы частот распределительного вала, об/мин",
20,Количество частот вращения распределительного вала на одну частоту вращения шпинделя,
21,"Частота вращения распределительного вала на быстром ходу, об/мин",
22,Электрооборудование,
23,Количество электродвигателей на станке,
24,"Мощность электродвигателя главного привода, кВт",
25,"Мощность электродвигателя насоса охлаждения, кВт",
26,Габариты и масса станка,
27,"Габариты станка (длина ширина высота, мм",1460 х 870 х 1450
28,"Масса станка, кг",880
