index,Наименование параметра,2С118
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",18
2,"Наибольший диаметр сверления в стали 45, мм",18
3,"Наибольший диаметр сверления в чугуне СЧ20, мм",20
4,"Нарезание резьбы в стали 45, мм",М4..М16
5,Наименьшее и наибольшее расстояние от торца шпинделя до стола,160..460
6,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",195
7,Рабочий стол,
8,"Размер рабочей поверхности основания, мм",250 х 250
9,Число Т-образных пазов Размеры Т-образных пазов,3
10,"Размер рабочей поверхности стола, мм",-
11,Шпиндель,
12,"Наибольшее перемещение сверлильной (шпиндельной) головки (бабки), мм",200
13,"Ход гильзы шпинделя, мм",90
14,"Цена деления лимба, мм",
15,"Частота вращения шпинделя, об/мин","200, 320, 560, 800, 1200, 2100"
16,Количество скоростей шпинделя,6
17,Конус шпинделя наружный по ГОСТ 9953-82,-
18,Конус шпинделя внутренний по ГОСТ 25557-82,Морзе 2 АТ6
19,"Наибольший крутящий момент на шпинделе, Нм",30
20,"Наибольшая осевая сила резания, Н",4000
21,Привод,
22,"Электродвигатель привода главного движения, кВт",075
23,"Электродвигатель насоса СОЖ, кВт","0,18*"
24,Габарит и масса станка,
25,"Габариты станка (длина ширина высота), мм",349 х 610 х 1168
26,"Масса станка, кг",125
