index,Наименование параметра,400V
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,Модель устройства ЧПУ,Sinumerik 802D sl
3,Количество управляемых координат,3
4,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3/3
5,"Наибольший диаметр сверления в стали 45, мм",25
6,"Наибольший диаметр растачивания, мм",80
7,"Пределы диаметров нарезаемой резьбы, мм",М6..М16
8,"Наибольший диаметр торцевой фрезы, мм",125
9,"Наибольшая длина инструмента, устанавливаемого на станке, мм",250
10,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",110..560
11,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",
12,Рабочий стол,
13,"Размеры рабочей поверхности стола (длина х ширина), мм",900 х 400
14,"Предельные размеры обрабатываемых поверхности (длина х ширина х высота), мм",540 х 400 х 450
15,"Максимальная нагрузка на стол (по центру), кг",400
16,Число Т-образных пазов Размеры Т-образных пазов,3
17,"Наибольшее продольное перемещение стола (X), мм",550
18,"Наибольшее поперечное перемещение стола (Y), мм",400
19,"Наибольшее вертикальное перемещение ползуна (Z), мм",450
20,"Поворот стола (А), град",
21,"Вращение стола (С), град",
22,"Предел рабочих подач стола и ползуна, мм/мин",1..15000
23,"Скорость быстрого перемещения по координатам X, Y, м/мин",25
24,"Скорость быстрого перемещения по координате Z, м/мин",22
25,"Допустимое усилие подачи по координате X, Y, Z, Н",5000
26,"Точность позиционирования по координате X, Y, Z, мм","± 0,010"
27,Шпиндель,
28,"Частота вращения шпинделя, об/мин",0..8000
29,Количество скоростей шпинделя,Б/с
30,"Номинальный крутящий момент на шпинделе, Нм",446
31,Конус шпинделя по DIN 69871,SK 40
32,Степень точности конуса шпинделя,АТ5
33,Магазин инструмента,
34,"Емкость инструментального магазина, шт.",20
35,"Время смены инструмента, с",12
36,"Наибольший диаметр инструмента, устанавливаемого в магазине, мм (без пропуска гнезд)",125 (80)
37,"Наибольшая длина инструмента, устанавливаемого в шпинделе станка, мм",250
38,"Максимальный диаметр сверла, мм",30
39,"Наибольшая масса оправки, устанавливаемой в магазине, кг",10
40,Электрооборудование и привод,
41,"Электродвигатель привода главного движения, кВт",70
42,"Электродвигатели привода подач (X, Y, Z), кВт",5
43,"Электронасос охлаждающей жидкости, кВт",015
44,"Электродвигатель вращения магазина, кВт",018
45,"Электродвигатель гидростанции, кВт",22
46,"Электродвигатель насоса смазки, кВт",025
47,"Суммарная мощность установленных на станке электродвигателей, кВт",23
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота), мм",2300 х 2450 х 2620
50,"Масса станка, кг",5000
